world,node,child,value_0.2_0,value_0.28_0,value_0.391_0,value_0.547_0,value_0.765_0,value_1.07_0,value_1.496_0,value_2.092_0,value_2.925_0,value_4.091_0,value_5.721_0,value_8_0
4ways,N48992,N29748,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways,N26976,N20811,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways,N26976,N25416,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways,N26976,N38655,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
4ways,N53690,N67505,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways,N53690,N81529,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways,N85228,N55441,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
4ways,N85228,N95080,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
4ways,N32798,N22474,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways,N32798,N99878,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways,N32798,N60238,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
4ways,N91530,N70552,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
4ways,N91530,N70945,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
4ways,N91530,N19695,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
