world,node,child,value_0.2_1_1,value_0.28_1_1,value_0.391_1_1,value_0.547_1_1,value_0.765_1_1,value_1.07_1_1,value_1.496_1_1,value_2.092_1_1,value_2.925_1_1,value_4.091_1_1,value_5.721_1_1,value_8_1_1
3ways_3,N65156,N64651,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
3ways_3,N41261,N40424,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_3,N41261,N12394,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_3,N53132,N51943,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_3,N53132,N97783,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
3ways_3,N50019,N91451,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_3,N50019,N34800,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
3ways_3,N43317,N12802,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
3ways_3,N43317,N97603,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
3ways_3,N64651,N77862,0.1192,0.1933,0.2644,0.3249,0.3722,0.4076,0.4336,0.4523,0.4659,0.4756,0.4825,0.4875
3ways_3,N64651,N42432,0.8808,0.8067,0.7356,0.6751,0.6278,0.5924,0.5664,0.5477,0.5341,0.5244,0.5175,0.5125
6vs1_1,N56747,N56864,0.1933,0.2649,0.325,0.3723,0.4077,0.4336,0.4524,0.4659,0.4756,0.4825,0.4875,0.4911
6vs1_1,N56747,N82829,0.8067,0.7351,0.675,0.6277,0.5923,0.5664,0.5476,0.5341,0.5244,0.5175,0.5125,0.5089
3ways_2,N90891,N81595,0.0135,0.044,0.0958,0.1566,0.2103,0.2504,0.2778,0.296,0.3079,0.3159,0.3212,0.3249
3ways_2,N90891,N13245,0.9832,0.9401,0.858,0.7505,0.6449,0.5579,0.4927,0.4458,0.4128,0.3895,0.3732,0.3616
3ways_2,N90891,N77370,0.0032,0.0159,0.0461,0.0929,0.1448,0.1917,0.2295,0.2582,0.2793,0.2946,0.3056,0.3135
3ways_2,N81595,N87576,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_2,N81595,N48010,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_2,N13245,N32928,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_2,N13245,N91031,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
3ways_2,N77370,N51166,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_2,N77370,N92423,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
6vs1_1_mirror,N32131,N97498,0.1933,0.2649,0.325,0.3723,0.4077,0.4336,0.4524,0.4659,0.4756,0.4825,0.4875,0.4911
6vs1_1_mirror,N32131,N72305,0.8067,0.7351,0.675,0.6277,0.5923,0.5664,0.5476,0.5341,0.5244,0.5175,0.5125,0.5089
