world,node,child,value_0.2_1_1,value_0.28_1_1,value_0.391_1_1,value_0.547_1_1,value_0.765_1_1,value_1.07_1_1,value_1.496_1_1,value_2.092_1_1,value_2.925_1_1,value_4.091_1_1,value_5.721_1_1,value_8_1_1
4ways_mirror,N45999,N24311,0.0,0.0,0.0,0.0,0.0002,0.002,0.0115,0.0397,0.0929,0.1639,0.2377,0.3029
4ways_mirror,N32267,N57126,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways_mirror,N32267,N79544,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways_mirror,N87145,N47247,0.0,0.0,0.0,0.0003,0.0032,0.0161,0.0502,0.1088,0.1818,0.2544,0.3167,0.3659
4ways_mirror,N87145,N56814,1.0,1.0,1.0,0.9997,0.9968,0.9839,0.9498,0.8912,0.8182,0.7456,0.6833,0.6341
4ways_mirror,N55789,N65639,0.0,0.0,0.0008,0.0059,0.0251,0.0681,0.1334,0.2078,0.2774,0.3353,0.38,0.4134
4ways_mirror,N55789,N65017,1.0,1.0,0.9992,0.9941,0.9749,0.9319,0.8666,0.7922,0.7226,0.6647,0.62,0.5866
4ways_mirror,N38229,N37405,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways_mirror,N38229,N17573,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways_mirror,N15390,N51337,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
4ways_mirror,N15390,N62990,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
4ways_mirror,N65464,N61864,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
4ways_mirror,N65464,N89454,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
4ways_mirror,N21041,N48290,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
4ways_mirror,N21041,N40989,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
4ways_mirror,N53960,N81689,0.0,0.0,0.0,0.0003,0.0032,0.0161,0.0502,0.1088,0.1818,0.2544,0.3167,0.3659
4ways_mirror,N53960,N32447,1.0,1.0,1.0,0.9997,0.9968,0.9839,0.9498,0.8912,0.8182,0.7456,0.6833,0.6341
4ways_mirror,N42350,N29704,0.0,0.0,0.0008,0.0059,0.0251,0.0681,0.1334,0.2078,0.2774,0.3353,0.38,0.4134
4ways_mirror,N42350,N58755,1.0,1.0,0.9992,0.9941,0.9749,0.9319,0.8666,0.7922,0.7226,0.6647,0.62,0.5866
4ways_mirror,N46824,N89645,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
4ways_mirror,N46824,N47373,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways_mirror,N47858,N73898,0.9975,0.9864,0.9556,0.8997,0.8276,0.7543,0.6904,0.6396,0.6011,0.5728,0.5522,0.5374
