world,node,child,value_0.2_1,value_0.28_1,value_0.391_1,value_0.547_1,value_0.765_1,value_1.07_1,value_1.496_1,value_2.092_1,value_2.925_1,value_4.091_1,value_5.721_1,value_8_1
Equal_2vs5_mirror,N86472,N73070,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
Equal_2vs5_mirror,N86472,N12601,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
3ways_2_mirror,N20537,N61048,1.0,1.0,1.0,0.9998,0.9971,0.9817,0.934,0.8451,0.7342,0.6293,0.5451,0.483
3ways_2_mirror,N20537,N53349,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.033,0.0774,0.1329,0.1854,0.2275,0.2585
3ways_2_mirror,N20537,N38759,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.033,0.0774,0.1329,0.1854,0.2275,0.2585
3ways_2_mirror,N61048,N31028,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3ways_2_mirror,N61048,N14684,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3ways_2_mirror,N53349,N22906,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
3ways_2_mirror,N53349,N23735,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
3ways_2_mirror,N38759,N26939,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
3ways_2_mirror,N38759,N82844,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
Equal_10vs2_mirror,N74542,N84331,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
Equal_10vs2_mirror,N74542,N25495,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
6vs1_2_mirror,N96941,N61632,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
6vs1_2_mirror,N96941,N99612,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
Equal_10vs2,N92580,N16553,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
Equal_10vs2,N92580,N51698,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
Equal_6vs3,N93546,N45994,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
Equal_6vs3,N93546,N73133,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
Loop_2_mirror,N90706,N65692,1.0,0.9992,0.994,0.9747,0.9305,0.8594,0.7704,0.6775,0.5932,0.5241,0.4712,0.4321
Loop_2_mirror,N90706,N52431,0.0,0.0008,0.006,0.0252,0.0681,0.1326,0.2024,0.2604,0.2994,0.3215,0.3322,0.3366
Loop_2_mirror,N90706,N61240,0.0,0.0,0.0,0.0001,0.0013,0.008,0.0272,0.0621,0.1074,0.1544,0.1966,0.2313
Loop_2_mirror,N61240,N96236,1.0,1.0,1.0,1.0,0.9996,0.9963,0.9822,0.9462,0.8861,0.8125,0.7405,0.6792
Loop_2_mirror,N61240,N87785,0.0,0.0,0.0,0.0,0.0004,0.0037,0.0178,0.0538,0.1139,0.1875,0.2595,0.3208
Equal_4vs2,N25436,N93213,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
Equal_4vs2,N25436,N46529,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
4ways,N39711,N75328,1.0,0.9992,0.994,0.9746,0.9293,0.8526,0.75,0.6379,0.5357,0.454,0.3938,0.351
4ways,N39711,N96243,0.0,0.0008,0.006,0.0252,0.068,0.1315,0.197,0.2452,0.2704,0.2785,0.2776,0.2733
4ways,N39711,N28397,0.0,0.0,0.0,0.0001,0.0013,0.008,0.0265,0.0584,0.097,0.1338,0.1643,0.1879
4ways,N39711,N48992,0.0,0.0,0.0,0.0001,0.0013,0.008,0.0265,0.0584,0.097,0.1338,0.1643,0.1879
4ways,N75328,N26976,1.0,1.0,0.9991,0.9918,0.9619,0.8919,0.7879,0.6772,0.5824,0.51,0.4579,0.4211
4ways,N75328,N53690,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways,N75328,N85228,0.0,0.0,0.0005,0.0041,0.0191,0.054,0.1061,0.1614,0.2088,0.245,0.271,0.2894
4ways,N96243,N32798,1.0,1.0,1.0,0.9999,0.9978,0.9836,0.9332,0.8297,0.6954,0.5695,0.4721,0.4032
4ways,N96243,N91530,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.033,0.076,0.1258,0.1678,0.197,0.2158
4ways,N96243,N88542,0.0,0.0,0.0,0.0,0.0004,0.0036,0.0169,0.0471,0.0894,0.1314,0.1654,0.1905
4ways,N96243,N68171,0.0,0.0,0.0,0.0,0.0004,0.0036,0.0169,0.0471,0.0894,0.1314,0.1654,0.1905
4ways,N28397,N27336,1.0,1.0,0.9995,0.9958,0.9792,0.9346,0.8547,0.7519,0.6495,0.5634,0.4977,0.4499
4ways,N28397,N21554,0.0,0.0,0.0005,0.0041,0.0194,0.0566,0.1151,0.1792,0.2329,0.2706,0.2946,0.3092
4ways,N28397,N26319,0.0,0.0,0.0,0.0001,0.0014,0.0087,0.0302,0.0689,0.1176,0.166,0.2077,0.2408
4ways,N48992,N60447,1.0,1.0,0.9995,0.9958,0.9792,0.9346,0.8547,0.7519,0.6495,0.5634,0.4977,0.4499
4ways,N48992,N61169,0.0,0.0,0.0005,0.0041,0.0194,0.0566,0.1151,0.1792,0.2329,0.2706,0.2946,0.3092
4ways,N48992,N29748,0.0,0.0,0.0,0.0001,0.0014,0.0087,0.0302,0.0689,0.1176,0.166,0.2077,0.2408
4ways,N26976,N20811,1.0,1.0,1.0,1.0,0.9992,0.9927,0.965,0.898,0.7955,0.6843,0.588,0.5142
4ways,N26976,N25416,0.0,0.0,0.0,0.0,0.0004,0.0036,0.0175,0.051,0.1023,0.1579,0.206,0.2429
4ways,N26976,N38655,0.0,0.0,0.0,0.0,0.0004,0.0036,0.0175,0.051,0.1023,0.1579,0.206,0.2429
4ways,N53690,N67505,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
4ways,N53690,N81529,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
4ways,N85228,N55441,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
4ways,N85228,N95080,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
4ways,N32798,N22474,0.9867,0.9468,0.8658,0.7568,0.6489,0.5601,0.4938,0.4464,0.4131,0.3897,0.3732,0.3617
4ways,N32798,N99878,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways,N32798,N60238,0.0066,0.0266,0.0671,0.1216,0.1756,0.22,0.2531,0.2768,0.2935,0.3052,0.3134,0.3192
4ways,N91530,N70552,0.9999,0.9984,0.9881,0.9509,0.8723,0.7642,0.6556,0.5653,0.4977,0.4491,0.4149,0.391
4ways,N91530,N70945,0.0,0.0008,0.0059,0.0246,0.0639,0.1179,0.1722,0.2173,0.2512,0.2754,0.2925,0.3045
4ways,N91530,N19695,0.0,0.0008,0.0059,0.0246,0.0639,0.1179,0.1722,0.2173,0.2512,0.2754,0.2925,0.3045
4ways,N88542,N68334,1.0,1.0,1.0,0.9992,0.9932,0.9679,0.9055,0.8068,0.6965,0.5985,0.5224,0.4669
4ways,N88542,N14860,0.0,0.0,0.0,0.0007,0.0053,0.023,0.0625,0.1192,0.1774,0.2251,0.2596,0.2832
4ways,N88542,N67846,0.0,0.0,0.0,0.0001,0.0014,0.009,0.032,0.0739,0.1261,0.1763,0.218,0.2499
4ways,N68171,N79384,1.0,1.0,1.0,0.9992,0.9932,0.9679,0.9055,0.8068,0.6965,0.5985,0.5224,0.4669
4ways,N68171,N99186,0.0,0.0,0.0,0.0007,0.0053,0.023,0.0625,0.1192,0.1774,0.2251,0.2596,0.2832
4ways,N68171,N84945,0.0,0.0,0.0,0.0001,0.0014,0.009,0.032,0.0739,0.1261,0.1763,0.218,0.2499
4ways,N27336,N24918,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
4ways,N27336,N35692,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
4ways,N21554,N77546,1.0,1.0,1.0,0.9999,0.9982,0.9872,0.9492,0.8708,0.7636,0.6556,0.5657,0.4981
4ways,N21554,N16090,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.0336,0.0798,0.1382,0.1931,0.2361,0.2666
4ways,N21554,N64741,0.0,0.0,0.0,0.0,0.0004,0.0036,0.0172,0.0495,0.0982,0.1513,0.1982,0.2353
4ways,N26319,N83433,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
4ways,N26319,N93526,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
4ways,N60447,N57637,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
4ways,N60447,N20174,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
4ways,N61169,N97788,1.0,1.0,1.0,0.9999,0.9982,0.9872,0.9492,0.8708,0.7636,0.6556,0.5657,0.4981
4ways,N61169,N39247,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.0336,0.0798,0.1382,0.1931,0.2361,0.2666
4ways,N61169,N66641,0.0,0.0,0.0,0.0,0.0004,0.0036,0.0172,0.0495,0.0982,0.1513,0.1982,0.2353
4ways,N29748,N38171,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
4ways,N29748,N21112,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
