world,node,child,value_1
Equal_6vs6_mirror,N64290,N31979,0.5
Equal_6vs6_mirror,N64290,N99197,0.5
3ways_1_mirror,N57322,N72074,0.3333
3ways_1_mirror,N57322,N76155,0.3333
3ways_1_mirror,N57322,N49197,0.3333
3ways_1_mirror,N72074,N44785,0.5
3ways_1_mirror,N72074,N25579,0.5
3ways_1_mirror,N76155,N71411,0.5
3ways_1_mirror,N76155,N50448,0.5
3ways_1_mirror,N49197,N83903,0.5
3ways_1_mirror,N49197,N45565,0.5
6vs1_2,N62262,N90683,0.5
6vs1_2,N62262,N91944,0.5
6vs2_mirror,N16794,N20889,0.5
6vs2_mirror,N16794,N45925,0.5
3ways_1,N44644,N15176,0.3333
3ways_1,N44644,N68923,0.3333
3ways_1,N44644,N92191,0.3333
3ways_1,N15176,N26876,0.5
3ways_1,N15176,N42091,0.5
3ways_1,N68923,N10165,0.5
3ways_1,N68923,N96619,0.5
3ways_1,N92191,N16867,0.5
3ways_1,N92191,N77234,0.5
Equal_8vs8,N26136,N77859,0.5
Equal_8vs8,N26136,N23128,0.5
3ways_3,N69030,N79809,0.3333
3ways_3,N69030,N26625,0.3333
3ways_3,N69030,N65156,0.3333
3ways_3,N79809,N41261,0.3333
3ways_3,N79809,N53132,0.3333
3ways_3,N79809,N50019,0.3333
3ways_3,N26625,N92857,0.5
3ways_3,N26625,N43317,0.5
3ways_3,N65156,N54494,0.5
3ways_3,N65156,N64651,0.5
3ways_3,N41261,N40424,0.5
3ways_3,N41261,N12394,0.5
3ways_3,N53132,N51943,0.5
3ways_3,N53132,N97783,0.5
3ways_3,N50019,N91451,0.5
3ways_3,N50019,N34800,0.5
3ways_3,N43317,N12802,0.5
3ways_3,N43317,N97603,0.5
3ways_3,N64651,N77862,0.5
3ways_3,N64651,N42432,0.5
6vs1_1,N56747,N56864,0.5
6vs1_1,N56747,N82829,0.5
3ways_2,N90891,N81595,0.3333
3ways_2,N90891,N13245,0.3333
3ways_2,N90891,N77370,0.3333
3ways_2,N81595,N87576,0.5
3ways_2,N81595,N48010,0.5
3ways_2,N13245,N32928,0.5
3ways_2,N13245,N91031,0.5
3ways_2,N77370,N51166,0.5
3ways_2,N77370,N92423,0.5
6vs1_1_mirror,N32131,N97498,0.5
6vs1_1_mirror,N32131,N72305,0.5
