world,nodeLocation,NID,PARENTID,pathFromParent,depth,N,S,stepsFromRoot,isLeaf,nodeValue,nodeEP,blackremains,cellDistances
Equal_2vs5_mirror,"(2, 4)",N86472,NA,,0,0,0,0,FALSE,0,0,7,
Equal_2vs5_mirror,"(4, 4)",N73070,N86472,"p(2, 4);p(3, 4);p(4, 4);",0,2,2,2,FALSE,0,0,5,"1, 2"
Equal_2vs5_mirror,"(0, 1)",N12601,N86472,"p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(1, 1);p(0, 1);",0,5,5,5,FALSE,0,0,2,"1, 1, 2, 3, 4"
Equal_2vs5_mirror,"(0, 1)",N87470,N73070,"p(4, 4);p(3, 4);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(1, 1);p(0, 1);",0,5,7,9,TRUE,0,0,0,"1, 1, 2, 3, 4"
Equal_2vs5_mirror,"(4, 4)",N13598,N12601,"p(0, 1);p(1, 1);p(2, 1);p(2, 2);p(2, 3);p(2, 4);p(3, 4);p(4, 4);",0,2,7,12,TRUE,0,0,0,"1, 2"
3ways_2_mirror,"(3, 6)",N20537,NA,,0,0,0,0,FALSE,0,0,7,
3ways_2_mirror,"(5, 6)",N61048,N20537,"p(3, 6);p(4, 6);p(5, 6);",0,1,2,2,FALSE,0,0,6,1
3ways_2_mirror,"(5, 1)",N53349,N20537,"p(3, 6);p(3, 5);p(3, 4);p(3, 3);p(3, 2);p(3, 1);p(4, 1);p(5, 1);",0,2,7,7,FALSE,0,0,5,"1, 2"
3ways_2_mirror,"(1, 1)",N38759,N20537,"p(3, 6);p(3, 5);p(3, 4);p(3, 3);p(3, 2);p(3, 1);p(2, 1);p(1, 1);",0,4,7,7,FALSE,0,0,3,"1, 1, 2, 2"
3ways_2_mirror,"(5, 1)",N31028,N61048,"p(5, 6);p(4, 6);p(3, 6);p(3, 5);p(3, 4);p(3, 3);p(3, 2);p(3, 1);p(4, 1);p(5, 1);",0,2,9,11,FALSE,0,0,4,"1, 2"
3ways_2_mirror,"(1, 1)",N14684,N61048,"p(5, 6);p(4, 6);p(3, 6);p(3, 5);p(3, 4);p(3, 3);p(3, 2);p(3, 1);p(2, 1);p(1, 1);",0,4,9,11,FALSE,0,0,2,"1, 1, 2, 2"
3ways_2_mirror,"(1, 1)",N22906,N53349,"p(5, 1);p(4, 1);p(3, 1);p(2, 1);p(1, 1);",0,4,4,11,FALSE,0,0,1,"1, 1, 2, 2"
3ways_2_mirror,"(5, 6)",N23735,N53349,"p(5, 1);p(4, 1);p(3, 1);p(3, 2);p(3, 3);p(3, 4);p(3, 5);p(3, 6);p(4, 6);p(5, 6);",0,1,9,16,FALSE,0,0,4,1
3ways_2_mirror,"(5, 1)",N26939,N38759,"p(1, 1);p(2, 1);p(3, 1);p(4, 1);p(5, 1);",0,2,4,11,FALSE,0,0,1,"1, 2"
3ways_2_mirror,"(5, 6)",N82844,N38759,"p(1, 1);p(2, 1);p(3, 1);p(3, 2);p(3, 3);p(3, 4);p(3, 5);p(3, 6);p(4, 6);p(5, 6);",0,1,9,16,FALSE,0,0,2,1
3ways_2_mirror,"(1, 1)",N59813,N31028,"p(5, 1);p(4, 1);p(3, 1);p(2, 1);p(1, 1);",0,4,4,15,TRUE,0,0,0,"1, 1, 2, 2"
3ways_2_mirror,"(5, 1)",N77401,N14684,"p(1, 1);p(2, 1);p(3, 1);p(4, 1);p(5, 1);",0,2,4,15,TRUE,0,0,0,"1, 2"
3ways_2_mirror,"(5, 6)",N75958,N22906,"p(1, 1);p(2, 1);p(3, 1);p(3, 2);p(3, 3);p(3, 4);p(3, 5);p(3, 6);p(4, 6);p(5, 6);",0,1,9,20,TRUE,0,0,0,1
3ways_2_mirror,"(1, 1)",N41337,N23735,"p(5, 6);p(4, 6);p(3, 6);p(3, 5);p(3, 4);p(3, 3);p(3, 2);p(3, 1);p(2, 1);p(1, 1);",0,4,9,25,TRUE,0,0,0,"1, 1, 2, 2"
3ways_2_mirror,"(5, 6)",N79545,N26939,"p(5, 1);p(4, 1);p(3, 1);p(3, 2);p(3, 3);p(3, 4);p(3, 5);p(3, 6);p(4, 6);p(5, 6);",0,1,9,20,TRUE,0,0,0,1
3ways_2_mirror,"(5, 1)",N99628,N82844,"p(5, 6);p(4, 6);p(3, 6);p(3, 5);p(3, 4);p(3, 3);p(3, 2);p(3, 1);p(4, 1);p(5, 1);",0,2,9,25,TRUE,0,0,0,"1, 2"
Equal_10vs2_mirror,"(2, 7)",N74542,NA,,0,0,0,0,FALSE,0,0,11,
Equal_10vs2_mirror,"(2, 9)",N84331,N74542,"p(2, 7);p(2, 8);p(2, 9);",0,2,2,2,FALSE,0,0,9,"1, 2"
Equal_10vs2_mirror,"(3, 2)",N25495,N74542,"p(2, 7);p(2, 6);p(2, 5);p(3, 5);p(4, 5);p(5, 5);p(5, 4);p(5, 3);p(5, 2);p(4, 2);p(3, 2);",0,9,10,10,FALSE,0,0,2,"1, 1, 2, 2, 2, 3, 3, 3, 4"
Equal_10vs2_mirror,"(3, 2)",N86782,N84331,"p(2, 9);p(2, 8);p(2, 7);p(2, 6);p(2, 5);p(3, 5);p(4, 5);p(5, 5);p(5, 4);p(5, 3);p(5, 2);p(4, 2);p(3, 2);",0,9,12,14,TRUE,0,0,0,"1, 1, 2, 2, 2, 3, 3, 3, 4"
Equal_10vs2_mirror,"(2, 9)",N66079,N25495,"p(3, 2);p(4, 2);p(5, 2);p(5, 3);p(5, 4);p(5, 5);p(4, 5);p(3, 5);p(2, 5);p(2, 6);p(2, 7);p(2, 8);p(2, 9);",0,2,12,22,TRUE,0,0,0,"1, 2"
6vs1_2_mirror,"(2, 6)",N96941,NA,,0,0,0,0,FALSE,0,0,7,
6vs1_2_mirror,"(6, 6)",N61632,N96941,"p(2, 6);p(3, 6);p(4, 6);p(5, 6);p(6, 6);",0,1,4,4,FALSE,0,0,6,1
6vs1_2_mirror,"(3, 2)",N99612,N96941,"p(2, 6);p(1, 6);p(0, 6);p(0, 5);p(0, 4);p(0, 3);p(0, 2);p(1, 2);p(2, 2);p(3, 2);",0,6,9,9,FALSE,0,0,1,"1, 1, 2, 2, 2, 2"
6vs1_2_mirror,"(3, 2)",N56542,N61632,"p(6, 6);p(5, 6);p(4, 6);p(3, 6);p(2, 6);p(1, 6);p(0, 6);p(0, 5);p(0, 4);p(0, 3);p(0, 2);p(1, 2);p(2, 2);p(3, 2);",0,6,13,17,TRUE,0,0,0,"1, 1, 2, 2, 2, 2"
6vs1_2_mirror,"(6, 6)",N69284,N99612,"p(3, 2);p(2, 2);p(1, 2);p(0, 2);p(0, 3);p(0, 4);p(0, 5);p(0, 6);p(1, 6);p(2, 6);p(3, 6);p(4, 6);p(5, 6);p(6, 6);",0,1,13,22,TRUE,0,0,0,1
Equal_10vs2,"(3, 7)",N92580,NA,,0,0,0,0,FALSE,0,0,11,
Equal_10vs2,"(3, 9)",N16553,N92580,"p(3, 7);p(3, 8);p(3, 9);",0,2,2,2,FALSE,0,0,9,"1, 2"
Equal_10vs2,"(2, 2)",N51698,N92580,"p(3, 7);p(3, 6);p(3, 5);p(2, 5);p(1, 5);p(0, 5);p(0, 4);p(0, 3);p(0, 2);p(1, 2);p(2, 2);",0,9,10,10,FALSE,0,0,2,"1, 1, 2, 2, 2, 3, 3, 3, 4"
Equal_10vs2,"(2, 2)",N34267,N16553,"p(3, 9);p(3, 8);p(3, 7);p(3, 6);p(3, 5);p(2, 5);p(1, 5);p(0, 5);p(0, 4);p(0, 3);p(0, 2);p(1, 2);p(2, 2);",0,9,12,14,TRUE,0,0,0,"1, 1, 2, 2, 2, 3, 3, 3, 4"
Equal_10vs2,"(3, 9)",N16360,N51698,"p(2, 2);p(1, 2);p(0, 2);p(0, 3);p(0, 4);p(0, 5);p(1, 5);p(2, 5);p(3, 5);p(3, 6);p(3, 7);p(3, 8);p(3, 9);",0,2,12,22,TRUE,0,0,0,"1, 2"
Equal_6vs3,"(4, 4)",N93546,NA,,0,0,0,0,FALSE,0,0,9,
Equal_6vs3,"(4, 7)",N45994,N93546,"p(4, 4);p(4, 5);p(4, 6);p(4, 7);",0,3,3,3,FALSE,0,0,6,"1, 1, 2"
Equal_6vs3,"(1, 2)",N73133,N93546,"p(4, 4);p(4, 3);p(4, 2);p(3, 2);p(2, 2);p(1, 2);",0,6,5,5,FALSE,0,0,3,"1, 1, 2, 2, 2, 2"
Equal_6vs3,"(1, 2)",N43809,N45994,"p(4, 7);p(4, 6);p(4, 5);p(4, 4);p(4, 3);p(4, 2);p(3, 2);p(2, 2);p(1, 2);",0,6,8,11,TRUE,0,0,0,"1, 1, 2, 2, 2, 2"
Equal_6vs3,"(4, 7)",N15365,N73133,"p(1, 2);p(2, 2);p(3, 2);p(4, 2);p(4, 3);p(4, 4);p(4, 5);p(4, 6);p(4, 7);",0,3,8,13,TRUE,0,0,0,"1, 1, 2"
Loop_2_mirror,"(0, 3)",N90706,NA,,0,0,0,0,FALSE,0,0,7,
Loop_2_mirror,"(0, 0)",N65692,N90706,"p(0, 3);p(0, 2);p(0, 1);p(0, 0);",0,1,3,3,FALSE,0,0,6,1
Loop_2_mirror,"(2, 0)",N52431,N90706,"p(0, 3);p(1, 3);p(2, 3);p(2, 2);p(2, 1);p(2, 0);",0,1,5,5,FALSE,0,0,6,1
Loop_2_mirror,"(6, 1)",N61240,N90706,"p(0, 3);p(1, 3);p(2, 3);p(2, 2);p(2, 1);p(3, 1);p(4, 1);p(5, 1);p(6, 1);",0,6,8,8,FALSE,0,0,1,"1, 1, 2, 2, 2, 3"
Loop_2_mirror,"(6, 1)",N85926,N65692,"p(0, 0);p(1, 0);p(2, 0);p(2, 1);p(3, 1);p(4, 1);p(5, 1);p(6, 1);",0,6,7,10,TRUE,0,0,0,"1, 1, 2, 2, 2, 3"
Loop_2_mirror,"(6, 1)",N74790,N52431,"p(2, 0);p(2, 1);p(3, 1);p(4, 1);p(5, 1);p(6, 1);",0,6,5,10,TRUE,0,0,0,"1, 1, 2, 2, 2, 3"
Loop_2_mirror,"(2, 0)",N96236,N61240,"p(6, 1);p(5, 1);p(4, 1);p(3, 1);p(2, 1);p(2, 0);",0,1,5,13,TRUE,0,0,0,1
Loop_2_mirror,"(0, 0)",N87785,N61240,"p(6, 1);p(5, 1);p(4, 1);p(3, 1);p(2, 1);p(2, 2);p(2, 3);p(1, 3);p(0, 3);p(0, 2);p(0, 1);p(0, 0);",0,1,11,19,TRUE,0,0,0,1
Equal_4vs2,"(1, 0)",N25436,NA,,0,0,0,0,FALSE,0,0,6,
Equal_4vs2,"(1, 2)",N93213,N25436,"p(1, 0);p(1, 1);p(1, 2);",0,2,2,2,FALSE,0,0,4,"1, 1"
Equal_4vs2,"(4, 0)",N46529,N25436,"p(1, 0);p(2, 0);p(3, 0);p(4, 0);",0,4,3,3,FALSE,0,0,2,"1, 2, 2, 3"
Equal_4vs2,"(4, 0)",N35816,N93213,"p(1, 2);p(1, 1);p(1, 0);p(2, 0);p(3, 0);p(4, 0);",0,4,5,7,TRUE,0,0,0,"1, 2, 2, 3"
Equal_4vs2,"(1, 2)",N84047,N46529,"p(4, 0);p(3, 0);p(2, 0);p(1, 0);p(1, 1);p(1, 2);",0,2,5,8,TRUE,0,0,0,"1, 1"
4ways,"(2, 6)",N39711,NA,,0,0,0,0,FALSE,0,0,9,
4ways,"(0, 6)",N75328,N39711,"p(2, 6);p(1, 6);p(0, 6);",0,1,2,2,FALSE,0,0,8,1
4ways,"(4, 4)",N96243,N39711,"p(2, 6);p(2, 5);p(2, 4);p(3, 4);p(4, 4);",0,1,4,4,FALSE,0,0,8,1
4ways,"(4, 1)",N28397,N39711,"p(2, 6);p(2, 5);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(3, 1);p(4, 1);",0,4,7,7,FALSE,0,0,5,"1, 1, 2, 2"
4ways,"(0, 1)",N48992,N39711,"p(2, 6);p(2, 5);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(1, 1);p(0, 1);",0,2,7,7,FALSE,0,0,7,"1, 2"
4ways,"(4, 4)",N26976,N75328,"p(0, 6);p(1, 6);p(2, 6);p(2, 5);p(2, 4);p(3, 4);p(4, 4);",0,1,6,8,FALSE,0,0,7,1
4ways,"(4, 1)",N53690,N75328,"p(0, 6);p(1, 6);p(2, 6);p(2, 5);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(3, 1);p(4, 1);",0,4,9,11,FALSE,0,0,4,"1, 1, 2, 2"
4ways,"(0, 1)",N85228,N75328,"p(0, 6);p(1, 6);p(2, 6);p(2, 5);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(1, 1);p(0, 1);",0,2,9,11,FALSE,0,0,6,"1, 2"
4ways,"(4, 5)",N32798,N96243,"p(4, 4);p(4, 5);",0,1,1,5,FALSE,0,0,7,1
4ways,"(0, 6)",N91530,N96243,"p(4, 4);p(3, 4);p(2, 4);p(2, 5);p(2, 6);p(1, 6);p(0, 6);",0,1,6,10,FALSE,0,0,7,1
4ways,"(4, 1)",N88542,N96243,"p(4, 4);p(3, 4);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(3, 1);p(4, 1);",0,4,7,11,FALSE,0,0,4,"1, 1, 2, 2"
4ways,"(0, 1)",N68171,N96243,"p(4, 4);p(3, 4);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(1, 1);p(0, 1);",0,2,7,11,FALSE,0,0,6,"1, 2"
4ways,"(0, 1)",N27336,N28397,"p(4, 1);p(3, 1);p(2, 1);p(1, 1);p(0, 1);",0,2,4,11,FALSE,0,0,3,"1, 2"
4ways,"(4, 4)",N21554,N28397,"p(4, 1);p(3, 1);p(2, 1);p(2, 2);p(2, 3);p(2, 4);p(3, 4);p(4, 4);",0,1,7,14,FALSE,0,0,4,1
4ways,"(0, 6)",N26319,N28397,"p(4, 1);p(3, 1);p(2, 1);p(2, 2);p(2, 3);p(2, 4);p(2, 5);p(2, 6);p(1, 6);p(0, 6);",0,1,9,16,FALSE,0,0,4,1
4ways,"(4, 1)",N60447,N48992,"p(0, 1);p(1, 1);p(2, 1);p(3, 1);p(4, 1);",0,4,4,11,FALSE,0,0,3,"1, 1, 2, 2"
4ways,"(4, 4)",N61169,N48992,"p(0, 1);p(1, 1);p(2, 1);p(2, 2);p(2, 3);p(2, 4);p(3, 4);p(4, 4);",0,1,7,14,FALSE,0,0,6,1
4ways,"(0, 6)",N29748,N48992,"p(0, 1);p(1, 1);p(2, 1);p(2, 2);p(2, 3);p(2, 4);p(2, 5);p(2, 6);p(1, 6);p(0, 6);",0,1,9,16,FALSE,0,0,6,1
4ways,"(4, 5)",N20811,N26976,"p(4, 4);p(4, 5);",0,1,1,9,FALSE,0,0,6,1
4ways,"(4, 1)",N25416,N26976,"p(4, 4);p(3, 4);p(2, 4);p(2, 3);p(2, 2);p(2, 1);p(3, 1);p(4, 1);",0,4,7,15,FALSE,0,0,3,"1, 1, 2, 2"
