"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"Cells",-47.0466463564909,8,NA,NA,0,NA,NA,NA,"S8400090","Heuristic"
"Cells-Num",-46.3676736992761,2.306,NA,NA,0,0.1,NA,NA,"S8400090","Heuristic"
"DU",-43.065601367237,1.9728,0.68,1,NA,NA,NA,NA,"S8400090","Planning"
"DU-Num",-41.7153237763472,0.5594,0.4,1,NA,0.42,NA,NA,"S8400090","Planning"
"EU",-44.6850711739489,3.3914,1,1,NA,NA,NA,NA,"S8400090","Planning"
"EU-Num",-44.6850711739489,3.3914,1,1,NA,10,NA,NA,"S8400090","Planning"
"PW",-45.0833979364035,2.2586,1,0.4804,NA,NA,NA,NA,"S8400090","Planning"
"PW_DU",-42.3374993947464,1.6152,0.64,2,NA,NA,NA,NA,"S8400090","Planning"
"Random",-45.0177018536415,1,NA,NA,NA,NA,NA,NA,"S8400090","Heuristic"
"Sampling",-44.5168088115265,NA,NA,NA,NA,NA,9.8,10.8,"S8400090","Planning"
"Steps",-44.5575606561981,5.1988,NA,NA,1,NA,NA,NA,"S8400090","Heuristic"
"Steps-Cells",-42.3462725950365,1.3256,NA,NA,0.54,NA,NA,NA,"S8400090","Heuristic"
"Steps-Cells-Num",-40.6293132333516,0.216,NA,NA,0.5,0.1,NA,NA,"S8400090","Heuristic"
"Steps-Num",-44.4962075135324,1.0332,NA,NA,1,0.1,NA,NA,"S8400090","Heuristic"
"Cells",-42.1822913335031,5.395,NA,NA,0,NA,NA,NA,"S64663250","Heuristic"
"Cells-Num",-42.3582312186036,0.948,NA,NA,0,0.1,NA,NA,"S64663250","Heuristic"
"DU",-34.043152850994,0.826,0.95,1,NA,NA,NA,NA,"S64663250","Planning"
"DU-Num",-36.8937955504479,0.6342,0.84,1,NA,3.88,NA,NA,"S64663250","Planning"
"EU",-35.1362181242357,0.887,1,1,NA,NA,NA,NA,"S64663250","Planning"
"EU-Num",-35.1362181242357,0.887,1,1,NA,10,NA,NA,"S64663250","Planning"
"PW",-34.8723125734241,1.009,1,1.028,NA,NA,NA,NA,"S64663250","Planning"
"PW_DU",-35.1259414970014,0.826,0.86,1.2716,NA,NA,NA,NA,"S64663250","Planning"
"Random",-43.5134244468645,1,NA,NA,NA,NA,NA,NA,"S64663250","Heuristic"
"Sampling",-38.7033563826816,NA,NA,NA,NA,NA,162,10,"S64663250","Planning"
"Steps",-43.7921002811478,8,NA,NA,1,NA,NA,NA,"S64663250","Heuristic"
"Steps-Cells",-36.9873339400095,0.7214,NA,NA,0.44,NA,NA,NA,"S64663250","Heuristic"
"Steps-Cells-Num",-36.2570692341228,0.2702,NA,NA,0.48,0.52,NA,NA,"S64663250","Heuristic"
"Steps-Num",-44.0351844523831,1.7344,NA,NA,1,0.1,NA,NA,"S64663250","Heuristic"
"Cells",-42.6394421386325,8,NA,NA,0,NA,NA,NA,"S47804928","Heuristic"
"Cells-Num",-42.5287252203593,1.9728,NA,NA,0,0.1,NA,NA,"S47804928","Heuristic"
"DU",-38.6715143868701,1.9728,0.83,1,NA,NA,NA,NA,"S47804928","Planning"
"DU-Num",-40.478773278882,0.4748,0.4,1,NA,0.18,NA,NA,"S47804928","Planning"
"EU",-38.4229961456989,2.7584,1,1,NA,NA,NA,NA,"S47804928","Planning"
"EU-Num",-38.4229961456989,2.7584,1,1,NA,10,NA,NA,"S47804928","Planning"
"PW",-38.1274550504974,2.092,1,0.6952,NA,NA,NA,NA,"S47804928","Planning"
"PW_DU",-38.8955663009188,1.9728,0.818,1.051,NA,NA,NA,NA,"S47804928","Planning"
"Random",-41.7215649726361,1,NA,NA,NA,NA,NA,NA,"S47804928","Heuristic"
"Sampling",-44.0181375895815,NA,NA,NA,NA,NA,15.4,14.8,"S47804928","Planning"
"Steps",-41.9280035948433,6.6326,NA,NA,1,NA,NA,NA,"S47804928","Heuristic"
"Steps-Cells",-41.3715573071799,1.8536,NA,NA,0.48,NA,NA,NA,"S47804928","Heuristic"
"Steps-Cells-Num",-41.3558218592858,0.3466,NA,NA,0.48,0.1,NA,NA,"S47804928","Heuristic"
"Steps-Num",-42.1753462668351,1.3596,NA,NA,1,0.1,NA,NA,"S47804928","Heuristic"
"Cells",-33.7162467377875,2.4252,NA,NA,0,NA,NA,NA,"S17865914","Heuristic"
"Cells-Num",-33.804843902996,0.8122,NA,NA,0,0.42,NA,NA,"S17865914","Heuristic"
"DU",-34.0084729188939,0.8434,0.99,1,NA,NA,NA,NA,"S17865914","Planning"
"DU-Num",-34.444122739806,0.8434,0.99,1,NA,4.56,NA,NA,"S17865914","Planning"
"EU",-33.7916530499332,0.8434,1,1,NA,NA,NA,NA,"S17865914","Planning"
"EU-Num",-33.171526554569,0.887,1,1,NA,5.76,NA,NA,"S17865914","Planning"
"PW",-34.0348969045559,0.9286,1,1.1092,NA,NA,NA,NA,"S17865914","Planning"
"PW_DU",-34.6380940943002,1.0138,0.982,1.1904,NA,NA,NA,NA,"S17865914","Planning"
"Random",-40.3352706115162,1,NA,NA,NA,NA,NA,NA,"S17865914","Heuristic"
"Sampling",-48.9618810998634,NA,NA,NA,NA,NA,501.6,22,"S17865914","Planning"
"Steps",-43.7623505653187,8,NA,NA,1,NA,NA,NA,"S17865914","Heuristic"
"Steps-Cells",-25.9613096593751,0.4846,NA,NA,0.4,NA,NA,NA,"S17865914","Heuristic"
"Steps-Cells-Num",-27.8252876713656,0.3014,NA,NA,0.4,3,NA,NA,"S17865914","Heuristic"
"Steps-Num",-41.5565424149159,3.8578,NA,NA,1,0.1,NA,NA,"S17865914","Heuristic"
"Cells",-51.823104637275,8,NA,NA,0,NA,NA,NA,"S73803980","Heuristic"
"Cells-Num",-48.0479370224007,5.8508,NA,NA,0,0.1,NA,NA,"S73803980","Heuristic"
"DU",-38.9732960058798,1.1552,0.63,1,NA,NA,NA,NA,"S73803980","Planning"
"DU-Num",-36.6944067614241,0.3244,0.36,1,NA,0.42,NA,NA,"S73803980","Planning"
"EU",-45.4058240456609,2.6392,1,1,NA,NA,NA,NA,"S73803980","Planning"
"EU-Num",-45.4058240456609,2.6392,1,1,NA,10,NA,NA,"S73803980","Planning"
"PW",-40.2476977890708,1.3256,1,0.372,NA,NA,NA,NA,"S73803980","Planning"
"PW_DU",-36.1641397046838,1.1552,0.54,2,NA,NA,NA,NA,"S73803980","Planning"
