"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"Random",-46.6915782822128,1,NA,NA,NA,NA,NA,NA,"S73803980","Heuristic"
"Sampling",-42.2544200706435,NA,NA,NA,NA,NA,8.8,5.4,"S73803980","Planning"
"Steps",-41.5739701941294,3.2248,NA,NA,1,NA,NA,NA,"S73803980","Heuristic"
"Steps-Cells",-44.596578871754,1.7344,NA,NA,0.74,NA,NA,NA,"S73803980","Heuristic"
"Steps-Cells-Num",-43.3958380671403,0.3778,NA,NA,0.76,0.18,NA,NA,"S73803980","Heuristic"
"Steps-Num",-39.8869863351854,0.5158,NA,NA,1,0.1,NA,NA,"S73803980","Heuristic"
"Cells",-54.1427311586407,8,NA,NA,0,NA,NA,NA,"S99057858","Heuristic"
"Cells-Num",-46.9848642166507,8,NA,NA,0,0.1,NA,NA,"S99057858","Heuristic"
"DU",-32.8970880486852,0.9044,0.42,1,NA,NA,NA,NA,"S99057858","Planning"
"DU-Num",-34.7468106344297,0.547,0.28,1,NA,2.7,NA,NA,"S99057858","Planning"
"EU",-47.2777926519629,6.7624,1,1,NA,NA,NA,NA,"S99057858","Planning"
"EU-Num",-47.2777926519629,6.7624,1,1,NA,10,NA,NA,"S99057858","Planning"
"PW",-41.0471669829205,0.896,1,0.1424,NA,NA,NA,NA,"S99057858","Planning"
"PW_DU",-43.2829239625949,0.896,0.628,1.1346,NA,NA,NA,NA,"S99057858","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S99057858","Heuristic"
"Sampling",-42.7921766932577,NA,NA,NA,NA,NA,9,1.2,"S99057858","Planning"
"Steps",-48.8739107522526,1.2368,NA,NA,1,NA,NA,NA,"S99057858","Heuristic"
"Steps-Cells",-42.8125752896218,0.9812,NA,NA,0.9,NA,NA,NA,"S99057858","Heuristic"
"Steps-Cells-Num",-41.0402944157657,0.3306,NA,NA,0.88,2.4,NA,NA,"S99057858","Heuristic"
"Steps-Num",-48.0404116224014,0.4776,NA,NA,1,2.4,NA,NA,"S99057858","Heuristic"
"Cells",-47.2003665354535,8,NA,NA,0,NA,NA,NA,"S5630936","Heuristic"
"Cells-Num",-45.8297153956947,2.7584,NA,NA,0,0.1,NA,NA,"S5630936","Heuristic"
"DU",-41.2934849333317,1.53,0.76,1,NA,NA,NA,NA,"S5630936","Planning"
"DU-Num",-45.5331971301633,0.6646,0.46,1,NA,0.96,NA,NA,"S5630936","Planning"
"EU",-44.2753864542187,2.4726,1,1,NA,NA,NA,NA,"S5630936","Planning"
"EU-Num",-44.2753864542187,2.4726,1,1,NA,10,NA,NA,"S5630936","Planning"
"PW",-43.6252493460124,1.7684,1,0.6534,NA,NA,NA,NA,"S5630936","Planning"
"PW_DU",-40.2036409719944,1.53,0.64,1.7736,NA,NA,NA,NA,"S5630936","Planning"
"Random",-44.8997188079844,1,NA,NA,NA,NA,NA,NA,"S5630936","Heuristic"
"Sampling",-40.9390994742812,NA,NA,NA,NA,NA,9.2,9.8,"S5630936","Planning"
"Steps",-43.6370109964996,4.8728,NA,NA,1,NA,NA,NA,"S5630936","Heuristic"
"Steps-Cells",-41.9724287085573,1.53,NA,NA,0.58,NA,NA,NA,"S5630936","Heuristic"
"Steps-Cells-Num",-41.6644295923715,0.248,NA,NA,0.54,0.1,NA,NA,"S5630936","Heuristic"
"Steps-Num",-42.7591528175423,0.826,NA,NA,1,0.1,NA,NA,"S5630936","Heuristic"
"Cells",-43.4651578023003,4.091,NA,NA,0,NA,NA,NA,"S59543242","Heuristic"
"Cells-Num",-43.9095268646073,0.7214,NA,NA,0,0.1,NA,NA,"S59543242","Heuristic"
"DU",-28.2828775636013,0.5158,0.95,1,NA,NA,NA,NA,"S59543242","Planning"
"DU-Num",-32.8849548613271,0.3618,0.78,1,NA,3.38,NA,NA,"S59543242","Planning"
"EU",-29.8515242779936,0.5906,1,1,NA,NA,NA,NA,"S59543242","Planning"
"EU-Num",-29.9849913586609,0.5906,1,1,NA,8.4,NA,NA,"S59543242","Planning"
"PW",-30.1650035541241,0.6342,1,1.028,NA,NA,NA,NA,"S59543242","Planning"
"PW_DU",-24.9595820901542,0.3466,0.77,1.8868,NA,NA,NA,NA,"S59543242","Planning"
"Random",-46.2860131691043,1,NA,NA,NA,NA,NA,NA,"S59543242","Heuristic"
"Sampling",-35.8836556146469,NA,NA,NA,NA,NA,156,3.8,"S59543242","Planning"
"Steps",-46.0369406141525,8,NA,NA,1,NA,NA,NA,"S59543242","Heuristic"
"Steps-Cells",-31.3220593851981,0.5158,NA,NA,0.4,NA,NA,NA,"S59543242","Heuristic"
"Steps-Cells-Num",-31.0595605215894,0.216,NA,NA,0.5,0.7,NA,NA,"S59543242","Heuristic"
"Steps-Num",-46.251145603941,1.6152,NA,NA,1,0.1,NA,NA,"S59543242","Heuristic"
"Cells",-53.5669064323465,8,NA,NA,0,NA,NA,NA,"S2231716","Heuristic"
"Cells-Num",-46.3287064895498,8,NA,NA,0,0.1,NA,NA,"S2231716","Heuristic"
"DU",-28.5172940932847,0.948,0.42,1,NA,NA,NA,NA,"S2231716","Planning"
"DU-Num",-25.6115791615343,0.4534,0.24,1,NA,0.7,NA,NA,"S2231716","Planning"
"EU",-45.9501757152641,6.1768,1,1,NA,NA,NA,NA,"S2231716","Planning"
"EU-Num",-45.9501757152641,6.1768,1,1,NA,10,NA,NA,"S2231716","Planning"
"PW",-29.3614907620453,0.887,1,0.2104,NA,NA,NA,NA,"S2231716","Planning"
"PW_DU",-29.8849143752401,0.887,0.518,1.5146,NA,NA,NA,NA,"S2231716","Planning"
"Random",-45.0177018536415,1,NA,NA,NA,NA,NA,NA,"S2231716","Heuristic"
"Sampling",-26.039609925705,NA,NA,NA,NA,NA,9,1,"S2231716","Planning"
"Steps",-29.2294431118887,1.53,NA,NA,1,NA,NA,NA,"S2231716","Heuristic"
"Steps-Cells",-29.6891082978759,1.3256,NA,NA,0.94,NA,NA,NA,"S2231716","Heuristic"
"Steps-Cells-Num",-27.1892710298678,0.5158,NA,NA,0.96,0.5,NA,NA,"S2231716","Heuristic"
"Steps-Num",-26.9430952172619,0.5906,NA,NA,1,0.5,NA,NA,"S2231716","Heuristic"
"Cells",-43.8730046056898,6.1768,NA,NA,0,NA,NA,NA,"S6822061","Heuristic"
"Cells-Num",-44.0297928135109,1.2404,NA,NA,0,0.1,NA,NA,"S6822061","Heuristic"
"DU",-34.0568868361979,0.826,0.9,1,NA,NA,NA,NA,"S6822061","Planning"
"DU-Num",-35.5983588419297,0.603,0.74,1,NA,2.76,NA,NA,"S6822061","Planning"
"EU",-35.3573311547275,1.009,1,1,NA,NA,NA,NA,"S6822061","Planning"
"EU-Num",-35.3966603817132,1.009,1,1,NA,8.4,NA,NA,"S6822061","Planning"
"PW",-35.4476905995084,1.07,1,0.9698,NA,NA,NA,NA,"S6822061","Planning"
"PW_DU",-34.7906335090696,0.7214,0.78,1.6604,NA,NA,NA,NA,"S6822061","Planning"
"Random",-44.2065716274245,1,NA,NA,NA,NA,NA,NA,"S6822061","Heuristic"
"Sampling",-39.5159513508939,NA,NA,NA,NA,NA,121.6,12.6,"S6822061","Planning"
"Steps",-43.8126752182062,6.6326,NA,NA,1,NA,NA,NA,"S6822061","Heuristic"
"Steps-Cells",-36.1080729120024,0.826,NA,NA,0.5,NA,NA,NA,"S6822061","Heuristic"
"Steps-Cells-Num",-34.5385182956892,0.28,NA,NA,0.5,0.5,NA,NA,"S6822061","Heuristic"
"Steps-Num",-43.6485312824105,1.1552,NA,NA,1,0.1,NA,NA,"S6822061","Heuristic"
"Cells",-44.2606338333537,8,NA,NA,0,NA,NA,NA,"S96025731","Heuristic"
"Cells-Num",-44.6383746290081,2.306,NA,NA,0,0.1,NA,NA,"S96025731","Heuristic"
"DU",-33.6726977837426,0.887,0.89,1,NA,NA,NA,NA,"S96025731","Planning"
"DU-Num",-34.3759963552701,0.6778,0.77,1,NA,3.16,NA,NA,"S96025731","Planning"
"EU",-35.3651592993859,1.2404,1,1,NA,NA,NA,NA,"S96025731","Planning"
"EU-Num",-35.4433577574671,1.2404,1,1,NA,9.2,NA,NA,"S96025731","Planning"
"PW",-33.2036905393905,0.948,1,0.737,NA,NA,NA,NA,"S96025731","Planning"
"PW_DU",-34.7514768715161,0.887,0.954,0.8534,NA,NA,NA,NA,"S96025731","Planning"
"Random",-43.107859333756,1,NA,NA,NA,NA,NA,NA,"S96025731","Heuristic"
"Sampling",-47.8624020608576,NA,NA,NA,NA,NA,231.6,17.2,"S96025731","Planning"
"Steps",-43.6389135033731,5.8508,NA,NA,1,NA,NA,NA,"S96025731","Heuristic"
"Steps-Cells",-41.2602668229217,1.4108,NA,NA,0.52,NA,NA,NA,"S96025731","Heuristic"
"Steps-Cells-Num",-41.0381005591894,0.5158,NA,NA,0.54,0.5,NA,NA,"S96025731","Heuristic"
"Steps-Num",-44.1082292581089,1.2134,NA,NA,1,0.1,NA,NA,"S96025731","Heuristic"
"Cells",-54.0181676057839,8,NA,NA,0,NA,NA,NA,"S40075314","Heuristic"
"Cells-Num",-46.9382773406462,8,NA,NA,0,0.1,NA,NA,"S40075314","Heuristic"
"DU",-32.5684170242218,1.8536,0.2,1,NA,NA,NA,NA,"S40075314","Planning"
"DU-Num",-30.6664210831922,0.264,0.2,1,NA,0.1,NA,NA,"S40075314","Planning"
"EU",-47.23926893845,8,1,1,NA,NA,NA,NA,"S40075314","Planning"
"EU-Num",-47.23926893845,8,1,1,NA,10,NA,NA,"S40075314","Planning"
"PW",-35.1915412146028,1.4448,1,0.1,NA,NA,NA,NA,"S40075314","Planning"
"PW_DU",-33.9237807006435,1.7684,0.35,1.62,NA,NA,NA,NA,"S40075314","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S40075314","Heuristic"
"Sampling",-37.6892755687757,NA,NA,NA,NA,NA,8.2,1,"S40075314","Planning"
"Steps",-33.4209494847376,1.8536,NA,NA,1,NA,NA,NA,"S40075314","Heuristic"
"Steps-Cells",-33.4209494847376,1.8536,NA,NA,1,NA,NA,NA,"S40075314","Heuristic"
"Steps-Cells-Num",-32.4372018860261,0.6778,NA,NA,1,0.5,NA,NA,"S40075314","Heuristic"
"Steps-Num",-32.4372018860261,0.6778,NA,NA,1,0.5,NA,NA,"S40075314","Heuristic"
"Cells",-23.8277197856416,0.9654,NA,NA,0,NA,NA,NA,"S2812871","Heuristic"
"Cells-Num",-22.3294952223547,0.3528,NA,NA,0,0.5,NA,NA,"S2812871","Heuristic"
"DU",-24.8692451710451,0.5158,0.99,1,NA,NA,NA,NA,"S2812871","Planning"
"DU-Num",-21.0841833093627,0.3778,0.928,1,NA,1.4,NA,NA,"S2812871","Planning"
"EU",-25.2301721150045,0.4312,1,1,NA,NA,NA,NA,"S2812871","Planning"
"EU-Num",-21.1655120053519,0.4624,1,1,NA,1.7,NA,NA,"S2812871","Planning"
"PW",-18.5260400535391,0.5906,1,1.434,NA,NA,NA,NA,"S2812871","Planning"
"PW_DU",-19.065565930907,0.5158,0.99,1.434,NA,NA,NA,NA,"S2812871","Planning"
"Random",-41.0284177920762,1,NA,NA,NA,NA,NA,NA,"S2812871","Heuristic"
"Sampling",-22.2726050734473,NA,NA,NA,NA,NA,1000,11,"S2812871","Planning"
"Steps",-47.8440651844276,8,NA,NA,1,NA,NA,NA,"S2812871","Heuristic"
"Steps-Cells",-18.3666010910935,0.3688,NA,NA,0.3,NA,NA,NA,"S2812871","Heuristic"
"Steps-Cells-Num",-17.4215283504657,0.2,NA,NA,0.3,0.8,NA,NA,"S2812871","Heuristic"
"Steps-Num",-42.2295612854644,7.5442,NA,NA,1,0.1,NA,NA,"S2812871","Heuristic"
"Cells",-44.7620144146537,8,NA,NA,0,NA,NA,NA,"S94003603","Heuristic"
"Cells-Num",-44.7979637570723,2.306,NA,NA,0,0.1,NA,NA,"S94003603","Heuristic"
"DU",-33.4932666870574,0.887,0.86,1,NA,NA,NA,NA,"S94003603","Planning"
"DU-Num",-34.0698566205341,0.7214,0.77,1,NA,3.66,NA,NA,"S94003603","Planning"
"EU",-35.6755308087176,1.1552,1,1,NA,NA,NA,NA,"S94003603","Planning"
"EU-Num",-35.6755308087176,1.1552,1,1,NA,10,NA,NA,"S94003603","Planning"
"PW",-33.107746676111,0.887,1,0.737,NA,NA,NA,NA,"S94003603","Planning"
"PW_DU",-34.1621349330537,0.826,0.898,0.9116,NA,NA,NA,NA,"S94003603","Planning"
"Random",-43.5134244468645,1,NA,NA,NA,NA,NA,NA,"S94003603","Heuristic"
"Sampling",-37.1644249462523,NA,NA,NA,NA,NA,13.2,4.4,"S94003603","Planning"
"Steps",-41.8396251029958,4.743,NA,NA,1,NA,NA,NA,"S94003603","Heuristic"
"Steps-Cells",-37.3411241608799,0.948,NA,NA,0.5,NA,NA,NA,"S94003603","Heuristic"
"Steps-Cells-Num",-38.3813696198094,0.3528,NA,NA,0.52,0.42,NA,NA,"S94003603","Heuristic"
"Steps-Num",-41.6966359760887,0.887,NA,NA,1,0.1,NA,NA,"S94003603","Heuristic"
"Cells",-52.588658999381,8,NA,NA,0,NA,NA,NA,"S96801013","Heuristic"
"Cells-Num",-44.6937025353242,8,NA,NA,0,0.1,NA,NA,"S96801013","Heuristic"
"DU",-35.6216919962707,1.7074,0,1,NA,NA,NA,NA,"S96801013","Planning"
"DU-Num",-31.4551601544323,0.3688,0,1,NA,0.18,NA,NA,"S96801013","Planning"
"EU",-44.9162584287971,8,1,1,NA,NA,NA,NA,"S96801013","Planning"
"EU-Num",-44.9162584287971,8,1,1,NA,10,NA,NA,"S96801013","Planning"
"PW",-38.146547821752,1.3062,1,0.1,NA,NA,NA,NA,"S96801013","Planning"
"PW_DU",-30.2665880267224,1.7684,0,2,NA,NA,NA,NA,"S96801013","Planning"
"Random",-43.2258423794131,1,NA,NA,NA,NA,NA,NA,"S96801013","Heuristic"
"Sampling",-27.0571422039822,NA,NA,NA,NA,NA,9,1,"S96801013","Planning"
"Steps",-36.4304657474798,1.5882,NA,NA,1,NA,NA,NA,"S96801013","Heuristic"
"Steps-Cells",-36.4304657474798,1.5882,NA,NA,1,NA,NA,NA,"S96801013","Heuristic"
"Steps-Cells-Num",-38.7070555537114,0.3466,NA,NA,1,0.18,NA,NA,"S96801013","Heuristic"
"Steps-Num",-38.7070555537114,0.3466,NA,NA,1,0.18,NA,NA,"S96801013","Heuristic"
"Cells",-41.7939937566243,3.6246,NA,NA,0,NA,NA,NA,"S42579176","Heuristic"
"Cells-Num",-41.49114457516,0.6342,NA,NA,0,0.1,NA,NA,"S42579176","Heuristic"
"DU",-42.2092841058209,1.8536,0.974,1,NA,NA,NA,NA,"S42579176","Planning"
"DU-Num",-34.3705229476465,0.264,0.5,1,NA,0.1,NA,NA,"S42579176","Planning"
"EU",-41.6661832193862,1.8536,1,1,NA,NA,NA,NA,"S42579176","Planning"
"EU-Num",-42.5337691513496,1.7344,1,1,NA,3.96,NA,NA,"S42579176","Planning"
"PW",-40.7087127447811,2.2586,1,1.7736,NA,NA,NA,NA,"S42579176","Planning"
"PW_DU",-39.7951152765052,1.3256,0.8,2,NA,NA,NA,NA,"S42579176","Planning"
"Random",-45.0177018536415,1,NA,NA,NA,NA,NA,NA,"S42579176","Heuristic"
"Sampling",-42.9575210286751,NA,NA,NA,NA,NA,21.2,15,"S42579176","Planning"
"Steps",-48.0226137539817,8,NA,NA,1,NA,NA,NA,"S42579176","Heuristic"
"Steps-Cells",-37.552306813676,0.826,NA,NA,0.4,NA,NA,NA,"S42579176","Heuristic"
"Steps-Cells-Num",-37.5411052178493,0.2,NA,NA,0.38,0.1,NA,NA,"S42579176","Heuristic"
"Steps-Num",-47.0597617502562,3.3842,NA,NA,1,0.1,NA,NA,"S42579176","Heuristic"
"Cells",-35.2130496724154,2.925,NA,NA,0,NA,NA,NA,"S91150056","Heuristic"
"Cells-Num",-35.6428449403466,0.547,NA,NA,0,0.1,NA,NA,"S91150056","Heuristic"
"DU",-32.9778656779486,1.0942,0.99,1,NA,NA,NA,NA,"S91150056","Planning"
"DU-Num",-32.6981716166386,1.009,0.964,1,NA,3.74,NA,NA,"S91150056","Planning"
"EU",-32.8151647328912,1.0942,1,1,NA,NA,NA,NA,"S91150056","Planning"
"EU-Num",-32.3203258373348,1.009,1,1,NA,4.24,NA,NA,"S91150056","Planning"
"PW",-33.4509997146702,1.0942,1,1.1092,NA,NA,NA,NA,"S91150056","Planning"
"PW_DU",-34.0253861802238,1.1794,0.974,1.1904,NA,NA,NA,NA,"S91150056","Planning"
"Random",-40.3352706115162,1,NA,NA,NA,NA,NA,NA,"S91150056","Heuristic"
"Sampling",-33.0208541937433,NA,NA,NA,NA,NA,700,19.8,"S91150056","Planning"
"Steps",-43.1207152323716,8,NA,NA,1,NA,NA,NA,"S91150056","Heuristic"
"Steps-Cells",-30.4917166358929,0.765,NA,NA,0.4,NA,NA,NA,"S91150056","Heuristic"
"Steps-Cells-Num",-32.629647438035,0.2542,NA,NA,0.36,0.26,NA,NA,"S91150056","Heuristic"
"Steps-Num",-41.3096201177811,3.3914,NA,NA,1,0.1,NA,NA,"S91150056","Heuristic"
"Cells",-34.0236708648243,1.9728,NA,NA,0,NA,NA,NA,"S50703067","Heuristic"
"Cells-Num",-34.2081107658933,0.3466,NA,NA,0,0.1,NA,NA,"S50703067","Heuristic"
"DU",-31.63229041906,0.826,0.99,1,NA,NA,NA,NA,"S50703067","Planning"
"DU-Num",-33.3717875642593,0.2854,0.61,1,NA,0.48,NA,NA,"S50703067","Planning"
"EU",-31.3957415920883,0.826,1,1,NA,NA,NA,NA,"S50703067","Planning"
"EU-Num",-31.0835253968085,0.826,1,1,NA,3.72,NA,NA,"S50703067","Planning"
"PW",-29.9556380389659,1.0332,1,1.5472,NA,NA,NA,NA,"S50703067","Planning"
"PW_DU",-30.6506802611,0.7824,0.92,1.5472,NA,NA,NA,NA,"S50703067","Planning"
"Random",-44.4941536948759,1,NA,NA,NA,NA,NA,NA,"S50703067","Heuristic"
"Sampling",-34.548542810183,NA,NA,NA,NA,NA,460,12.6,"S50703067","Planning"
"Steps",-48.5574110653849,8,NA,NA,1,NA,NA,NA,"S50703067","Heuristic"
"Steps-Cells",-29.7538265780248,0.5718,NA,NA,0.34,NA,NA,NA,"S50703067","Heuristic"
"Steps-Cells-Num",-29.0221483739364,0.3084,NA,NA,0.4,3.34,NA,NA,"S50703067","Heuristic"
"Steps-Num",-45.6276874415067,5.069,NA,NA,1,0.1,NA,NA,"S50703067","Heuristic"
"Cells",-49.334129663867,8,NA,NA,0,NA,NA,NA,"S13676248","Heuristic"
"Cells-Num",-46.082864112705,4.5098,NA,NA,0,0.1,NA,NA,"S13676248","Heuristic"
"DU",-36.5225793017014,1.1794,0.64,1,NA,NA,NA,NA,"S13676248","Planning"
"DU-Num",-36.5013376199953,0.948,0.6,1,NA,4.38,NA,NA,"S13676248","Planning"
"EU",-44.8806265942269,2.9916,1,1,NA,NA,NA,NA,"S13676248","Planning"
"EU-Num",-44.8806265942269,2.9916,1,1,NA,10,NA,NA,"S13676248","Planning"
"PW",-37.7974785426608,1.1794,1,0.4386,NA,NA,NA,NA,"S13676248","Planning"
"PW_DU",-36.38762078,1.1794,0.54,1.6604,NA,NA,NA,NA,"S13676248","Planning"
"Random",-44.612136740533,1,NA,NA,NA,NA,NA,NA,"S13676248","Heuristic"
"Sampling",-78.2125145067366,NA,NA,NA,NA,NA,7.8,3,"S13676248","Planning"
"Steps",-37.2698594880271,2.4252,NA,NA,1,NA,NA,NA,"S13676248","Heuristic"
"Steps-Cells",-34.1108064382555,0.826,NA,NA,0.62,NA,NA,NA,"S13676248","Heuristic"
"Steps-Cells-Num",-34.8271094988419,0.2,NA,NA,0.64,0.1,NA,NA,"S13676248","Heuristic"
"Steps-Num",-37.3595203698154,0.4534,NA,NA,1,0.1,NA,NA,"S13676248","Heuristic"
"Cells",-53.8811498210313,8,NA,NA,0,NA,NA,NA,"S1925551","Heuristic"
"Cells-Num",-46.9572471033134,8,NA,NA,0,0.1,NA,NA,"S1925551","Heuristic"
"DU",-28.5748572843785,1.4108,0.32,1,NA,NA,NA,NA,"S1925551","Planning"
"DU-Num",-29.0700094051846,0.3244,0.12,1,NA,0.1,NA,NA,"S1925551","Planning"
"EU",-46.5838698898594,6.1768,1,1,NA,NA,NA,NA,"S1925551","Planning"
"EU-Num",-46.5838698898594,6.1768,1,1,NA,10,NA,NA,"S1925551","Planning"
"PW",-28.02882060134,1.1552,1,0.119,NA,NA,NA,NA,"S1925551","Planning"
"PW_DU",-28.6263117971,1.2404,0.832,0.3046,NA,NA,NA,NA,"S1925551","Planning"
"Random",-45.7108490342014,1,NA,NA,NA,NA,NA,NA,"S1925551","Heuristic"
"Sampling",-26.4033811697646,NA,NA,NA,NA,NA,9,1,"S1925551","Planning"
"Steps",-27.7799935510818,1.496,NA,NA,1,NA,NA,NA,"S1925551","Heuristic"
"Steps-Cells",-28.5379196164254,1.496,NA,NA,0.96,NA,NA,NA,"S1925551","Heuristic"
"Steps-Cells-Num",-28.4607318426333,0.28,NA,NA,0.96,0.1,NA,NA,"S1925551","Heuristic"
"Steps-Num",-28.4240548961371,0.3022,NA,NA,1,0.1,NA,NA,"S1925551","Heuristic"
"Cells",-36.6387094208314,2.7584,NA,NA,0,NA,NA,NA,"S8213306","Heuristic"
