subject	world	trialNo	steps	path	times
S8400090	Loop_1	1	13	p(7,0)p(6,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,2);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(1,2);p(1,3);	5567;696;570;541;550;1031;745;682;729;605;676;1606;548;
S8400090	Equal_6vs3_mirror	2	26	p(2,4)p(2,5);p(2,6);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(6,3);	3225;541;599;1488;489;559;606;634;550;504;707;3033;634;
S8400090	Equal_8vs3	3	49	p(6,2)p(6,3);p(6,4);p(7,4);p(8,4);p(7,4);p(6,4);p(6,3);p(6,2);p(6,1);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(4,3);	2570;590;1001;510;1264;546;535;549;560;659;587;590;559;598;821;511;484;642;1839;645;676;518;602;
S8400090	4ways_mirror	4	67	p(3,6)p(4,6);p(5,6);p(4,6);p(3,6);p(3,5);p(3,4);p(2,4);p(1,4);p(1,5);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(3,1);p(4,1);p(5,1);p(5,2);	4130;595;995;566;557;503;567;583;1884;1125;557;481;537;719;745;754;480;1085;
S8400090	Equal_2vs5_mirror	5	78	p(2,4)p(3,4);p(4,4);p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(1,1);p(0,1);p(0,2);p(0,3);	1703;535;947;629;596;712;823;628;745;916;568;
S8400090	6vs1_2	6	89	p(4,6)p(5,6);p(6,6);p(6,5);p(6,4);p(6,3);p(6,2);p(5,2);p(4,2);p(3,2);p(3,1);p(2,1);	2603;485;467;504;488;536;656;505;599;1481;566;
S8400090	6vs2	7	94	p(0,1)p(1,1);p(2,1);p(3,1);p(4,1);p(4,2);	1767;558;537;520;1706;
S8400090	6vs1_1_mirror	8	107	p(2,5)p(3,5);p(4,5);p(5,5);p(6,5);p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(3,1);p(3,0);p(2,0);	1666;583;542;506;501;549;692;745;743;551;721;1297;743;
S8400090	3ways_4	9	114	p(4,2)p(3,2);p(2,2);p(1,2);p(1,3);p(1,4);p(2,4);p(2,5);	2489;557;464;573;561;1541;528;
S8400090	Equal_7vs2_mirror	10	124	p(2,4)p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,1);p(5,0);p(4,0);p(3,0);p(2,0);	2258;621;581;543;574;505;528;1055;534;1117;
