subject	world	trialNo	steps	path	times
S8400090	3ways_2_mirror	11	136	p(3,6)p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(2,1);p(1,1);p(2,1);p(3,1);p(4,1);p(5,1);p(5,2);	2067;480;488;541;520;676;559;1946;978;517;514;1038;
S8400090	6vs2_mirror	12	141	p(5,1)p(4,1);p(3,1);p(2,1);p(1,1);p(1,0);	1755;473;496;480;1055;
S8400090	3ways_1	13	151	p(5,4)p(5,3);p(5,2);p(5,1);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	1596;528;619;1103;627;568;503;676;1327;557;
S8400090	Loop_2	14	163	p(7,3)p(6,3);p(5,3);p(5,2);p(5,1);p(5,0);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(0,2);	2067;530;532;490;581;923;536;611;674;536;1048;589;
S8400090	Equal_8vs3_mirror	15	177	p(2,2)p(2,1);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(8,1);p(8,2);p(8,3);p(7,3);p(6,3);p(5,3);	3700;571;768;527;505;550;474;480;487;512;1065;450;470;488;
S8400090	Equal_6vs6_mirror	16	184	p(2,4)p(3,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(3,0);	4548;490;775;458;540;1336;504;
S8400090	Equal_8vs8_mirror	17	192	p(3,3)p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,0);p(5,0);p(4,0);	1744;458;480;481;504;1256;466;550;
S8400090	Equal_7vs2	18	200	p(5,4)p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);p(1,0);	1584;463;706;460;544;481;494;945;
S8400090	3ways_1_mirror	19	213	p(2,4)p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);p(1,0);	1673;652;567;504;499;439;1561;557;419;473;793;1208;582;
S8400090	Equal_8vs8	20	235	p(6,3)p(5,3);p(4,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(9,3);p(9,4);p(9,5);p(8,5);p(7,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);	2888;543;488;489;533;1079;505;581;839;496;792;650;840;495;506;973;625;441;644;510;504;614;
S8400090	Loop_1_mirror	21	241	p(0,0)p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(1,3);	2102;487;549;932;514;1069;
S8400090	3ways_2	22	253	p(2,6)p(1,6);p(0,6);p(1,6);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	1586;549;1078;598;520;465;503;487;595;461;512;968;
S8400090	4vs1	23	256	p(0,4)p(1,4);p(2,4);p(2,3);	1617;494;934;
S8400090	6vs1_2_mirror	24	274	p(2,6)p(3,6);p(4,6);p(5,6);p(6,6);p(5,6);p(4,6);p(3,6);p(2,6);p(1,6);p(0,6);p(0,5);p(0,4);p(0,3);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);	1523;584;513;463;1691;474;472;458;472;411;484;479;510;496;491;489;512;1023;
S8400090	Equal_7vs9_mirror	25	286	p(2,2)p(2,1);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(7,4);p(6,4);	2239;513;456;652;481;487;708;532;475;1063;460;424;
S8400090	Loop_2_mirror	26	296	p(0,3)p(1,3);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);	5689;838;594;558;1042;450;425;395;902;551;
S8400090	Equal_4vs2	27	299	p(1,0)p(1,1);p(1,2);p(2,2);	1824;511;1707;
S8400090	Equal_10vs2	28	302	p(3,7)p(3,8);p(3,9);p(4,9);	3331;504;1070;
S8400090	Equal_4vs2_mirror	29	312	p(4,0)p(4,1);p(4,2);p(4,1);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	1543;520;1066;463;557;442;831;1427;513;742;
S8400090	3ways_3	30	316	p(2,4)p(2,5);p(2,6);p(1,6);p(0,6);	1904;529;1123;644;
S8400090	Equal_6vs3	31	331	p(4,4)p(4,3);p(4,2);p(3,2);p(2,2);p(1,2);p(2,2);p(3,2);p(4,2);p(4,3);p(4,4);p(4,5);p(4,6);p(4,7);p(5,7);p(6,7);	1799;519;1250;518;520;926;410;471;536;489;503;476;524;846;513;
S8400090	3ways_4_mirror	32	341	p(2,2)p(1,2);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,1);p(5,0);p(4,0);	2861;628;836;506;449;422;431;403;465;1111;
S8400090	Equal_2vs5	33	345	p(2,4)p(1,4);p(0,4);p(0,3);p(0,2);	1578;464;978;458;
S8400090	6vs1_1	34	362	p(4,5)p(5,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);p(0,4);p(0,3);p(0,2);p(0,1);p(1,1);p(2,1);p(3,1);p(4,1);p(4,0);	1491;512;1055;543;1186;541;506;506;743;504;490;489;487;549;669;1461;462;
S8400090	3ways_3_mirror	35	381	p(3,4)p(3,5);p(3,6);p(4,6);p(5,6);p(4,6);p(3,6);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(4,1);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(1,0);p(0,0);	2231;474;1738;472;1213;494;434;435;412;466;448;438;453;934;519;513;564;1172;745;
S8400090	4vs1_mirror	36	390	p(2,4)p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(1,1);p(0,1);	2157;534;1113;471;1046;481;474;813;674;
S8400090	4ways	37	412	p(2,6)p(1,6);p(0,6);p(1,6);p(2,6);p(2,5);p(2,4);p(3,4);p(4,4);p(4,5);p(4,4);p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(0,2);	1570;503;1445;551;479;559;870;529;1324;1032;472;458;460;1248;493;567;528;1201;714;506;473;783;
S8400090	Equal_10vs2_mirror	38	428	p(2,7)p(2,8);p(2,9);p(2,8);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(5,5);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(3,1);p(2,1);	3741;472;993;427;528;433;590;456;491;480;613;836;582;535;1094;645;
S8400090	Equal_7vs9	39	457	p(5,2)p(5,1);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(7,6);p(7,7);p(6,7);p(5,7);p(4,7);p(3,7);	2827;468;580;479;669;457;481;504;503;1183;539;862;559;619;559;481;458;761;480;519;488;428;451;473;403;874;513;512;559;
S8400090	Equal_6vs6	40	464	p(4,4)p(5,4);p(6,4);p(6,5);p(6,6);p(6,7);p(5,7);p(4,7);	2965;816;1101;506;463;915;474;
S64663250	6vs1_2	1	11	p(4,6)p(5,6);p(6,6);p(6,5);p(6,4);p(6,3);p(6,2);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);	5137;639;571;539;556;555;537;594;556;902;538;
S64663250	6vs1_2_mirror	2	21	p(2,6)p(1,6);p(0,6);p(0,5);p(0,4);p(0,3);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);	1798;572;616;628;611;707;626;619;591;989;
S64663250	4vs1_mirror	3	26	p(2,4)p(2,3);p(2,2);p(2,1);p(1,1);p(0,1);	1696;601;565;1105;574;
S64663250	3ways_3_mirror	4	33	p(3,4)p(3,3);p(3,2);p(3,1);p(2,1);p(1,1);p(0,1);p(0,0);	1730;512;538;557;557;875;494;
S64663250	Equal_7vs2_mirror	5	43	p(2,4)p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,1);p(5,0);p(4,0);p(3,0);p(2,0);	2583;564;567;581;655;649;580;814;691;560;
S64663250	Loop_2_mirror	6	53	p(0,3)p(1,3);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);	2344;566;646;633;619;688;1148;530;724;646;
S64663250	Equal_10vs2	7	82	p(3,7)p(3,6);p(3,5);p(2,5);p(1,5);p(0,5);p(0,4);p(0,3);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);p(0,5);p(1,5);p(2,5);p(3,5);p(3,6);p(3,7);p(3,8);p(3,9);p(4,9);	1553;573;566;555;619;556;566;591;1194;652;856;619;548;3056;644;513;523;545;1114;591;567;555;575;625;548;609;577;617;805;
S64663250	Equal_8vs8	8	104	p(6,3)p(5,3);p(4,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(9,3);p(9,4);p(9,5);p(8,5);p(7,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);	1756;574;609;556;575;1828;831;629;545;556;503;577;579;530;601;900;556;513;547;1185;662;573;
S64663250	3ways_1_mirror	9	109	p(2,4)p(2,3);p(2,2);p(2,1);p(2,0);p(1,0);	1368;707;668;1037;544;
S64663250	6vs2	10	114	p(0,1)p(1,1);p(2,1);p(3,1);p(4,1);p(4,2);	1121;643;690;820;761;
S64663250	Equal_6vs6_mirror	11	121	p(2,4)p(3,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(3,0);	1420;608;644;686;701;989;532;
S64663250	Equal_8vs8_mirror	12	129	p(3,3)p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(4,0);	1282;579;1167;655;669;1345;608;555;
S64663250	3ways_2	13	137	p(2,6)p(2,5);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	1836;609;584;582;592;611;714;928;
S64663250	Loop_1	14	146	p(7,0)p(6,0);p(5,0);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(1,2);p(1,3);	2080;575;750;671;653;649;729;772;635;
S64663250	Equal_6vs6	15	163	p(4,4)p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(2,2);p(2,3);p(2,4);p(3,4);p(4,4);p(5,4);p(6,4);p(6,5);p(6,6);p(6,7);p(5,7);p(4,7);	1403;802;707;605;596;1695;592;601;583;629;908;600;552;561;637;653;617;
S64663250	Equal_8vs3_mirror	16	187	p(2,2)p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(8,1);p(8,2);p(8,3);p(7,3);p(6,3);p(5,3);	1982;2614;494;662;644;576;1606;627;893;629;554;574;565;557;611;617;636;612;576;590;1104;749;618;521;
S64663250	Equal_2vs5	17	201	p(2,4)p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(0,3);p(0,2);	1819;1127;646;661;644;1547;602;555;591;621;582;626;955;600;
S64663250	Equal_7vs9	18	230	p(5,2)p(5,1);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(7,6);p(7,7);p(6,7);p(5,7);p(4,7);p(3,7);	1511;588;618;610;601;571;604;885;1190;1022;579;590;582;624;647;590;592;1627;809;998;662;637;1211;617;671;690;634;626;576;
S64663250	6vs1_1	19	247	p(4,5)p(5,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);p(0,4);p(0,3);p(0,2);p(0,1);p(1,1);p(2,1);p(3,1);p(4,1);p(4,0);	1770;617;1520;714;575;558;545;601;611;1976;655;600;662;675;933;812;689;
S64663250	Equal_6vs3	20	262	p(4,4)p(4,3);p(4,2);p(3,2);p(2,2);p(1,2);p(2,2);p(3,2);p(4,2);p(4,3);p(4,4);p(4,5);p(4,6);p(4,7);p(5,7);p(6,7);	1556;635;548;619;708;1394;1141;633;541;546;1203;651;927;839;653;
S64663250	6vs2_mirror	21	267	p(5,1)p(4,1);p(3,1);p(2,1);p(1,1);p(1,0);	942;593;561;786;936;
S64663250	Equal_4vs2_mirror	22	273	p(4,0)p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);	1285;538;647;1164;562;659;
S64663250	4vs1	23	284	p(0,4)p(0,3);p(0,2);p(0,1);p(1,1);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(2,3);	1269;556;627;1261;909;531;629;570;567;586;704;
S64663250	4ways_mirror	24	300	p(3,6)p(4,6);p(5,6);p(4,6);p(3,6);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(2,1);p(1,1);p(2,1);p(3,1);p(4,1);p(5,1);p(5,2);	2509;1211;1791;654;628;1351;688;706;815;554;662;867;874;618;600;795;
S64663250	Equal_8vs3	25	325	p(6,2)p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);p(8,4);p(7,4);p(6,4);p(6,3);p(6,2);p(6,1);p(6,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(4,3);	1426;2623;681;608;628;618;1174;610;646;661;583;671;539;565;663;645;591;629;1120;981;1139;583;608;708;645;
S64663250	3ways_4_mirror	26	339	p(2,2)p(1,2);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(5,1);p(5,0);p(4,0);	1459;662;1036;1164;616;627;672;584;600;945;585;528;574;731;
S64663250	Equal_7vs9_mirror	27	351	p(2,2)p(2,1);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(7,4);p(6,4);	1385;626;705;637;618;636;576;555;680;913;614;578;
S64663250	3ways_3	28	369	p(2,4)p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(1,1);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(1,6);p(0,6);	1465;616;609;628;645;857;555;557;600;874;565;549;881;689;583;716;909;550;
S64663250	Equal_7vs2	29	381	p(5,4)p(5,5);p(5,6);p(5,5);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);p(1,0);	1841;662;722;593;584;545;637;591;566;592;1085;1151;
S64663250	Equal_4vs2	30	384	p(1,0)p(1,1);p(1,2);p(2,2);	1985;548;917;
S64663250	6vs1_1_mirror	31	401	p(2,5)p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);p(6,5);p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(3,1);p(2,1);p(2,0);	2090;617;630;614;610;618;574;565;600;582;574;584;1437;583;609;768;610;
S64663250	Loop_1_mirror	32	415	p(0,0)p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(5,1);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(1,3);	2008;831;528;576;616;558;607;2146;564;646;679;722;990;706;
S64663250	4ways	33	437	p(2,6)p(1,6);p(0,6);p(1,6);p(2,6);p(2,5);p(2,4);p(3,4);p(4,4);p(4,5);p(4,4);p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(0,2);	3695;624;1440;617;584;600;608;645;1254;871;552;572;593;599;830;558;642;1589;830;600;574;830;
S64663250	3ways_2_mirror	34	449	p(3,6)p(4,6);p(5,6);p(4,6);p(3,6);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(4,1);p(5,1);p(5,2);	2014;628;708;598;586;591;555;627;655;758;557;803;
S64663250	Equal_2vs5_mirror	35	460	p(2,4)p(3,4);p(4,4);p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(1,1);p(0,1);p(0,2);p(0,3);	2087;902;1077;565;547;1403;874;557;602;741;618;
S64663250	Equal_6vs3_mirror	36	467	p(2,4)p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(6,3);	1459;1032;574;655;652;861;634;
S64663250	Loop_2	37	479	p(7,3)p(6,3);p(5,3);p(5,2);p(5,1);p(5,0);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(0,2);	2671;717;564;637;731;865;557;609;592;600;866;1140;
S64663250	Equal_10vs2_mirror	38	491	p(2,7)p(2,6);p(2,5);p(3,5);p(4,5);p(5,5);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);	1579;749;626;575;574;594;572;645;1113;609;1043;635;
S64663250	3ways_1	39	501	p(5,4)p(5,3);p(5,2);p(5,1);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	1376;619;645;988;567;573;564;630;936;606;
S64663250	3ways_4	40	512	p(4,2)p(3,2);p(2,2);p(1,2);p(1,1);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,5);p(2,5);	1022;601;573;575;598;1078;538;638;574;945;599;
S47804928	3ways_1	1	14	p(5,4)p(6,4);p(7,4);p(6,4);p(5,4);p(5,3);p(5,2);p(5,1);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	56741;1326;4624;2213;1183;803;435;1312;540;456;480;721;1118;523;
S47804928	6vs1_2	2	25	p(4,6)p(5,6);p(6,6);p(6,5);p(6,4);p(6,3);p(6,2);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);	8712;717;377;403;360;368;368;366;728;1942;412;
S47804928	Equal_6vs3_mirror	3	38	p(2,4)p(2,5);p(2,6);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(6,3);	4211;402;421;1552;338;344;337;369;480;321;360;786;351;
S47804928	Equal_7vs9_mirror	4	64	p(2,2)p(2,3);p(2,4);p(2,5);p(1,5);p(0,5);p(0,6);p(0,7);p(0,6);p(0,5);p(1,5);p(2,5);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(6,2);p(6,3);p(6,4);	7012;412;374;472;420;406;442;1176;315;412;554;1965;376;366;353;361;442;832;2024;389;413;398;396;2640;366;885;
S47804928	6vs2_mirror	5	69	p(5,1)p(4,1);p(3,1);p(2,1);p(1,1);p(1,0);	2141;539;451;465;1073;
S47804928	6vs1_2_mirror	6	79	p(2,6)p(1,6);p(0,6);p(0,5);p(0,4);p(0,3);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);	15365;471;458;404;420;374;420;459;366;683;
S47804928	Equal_10vs2_mirror	7	95	p(2,7)p(2,8);p(2,9);p(2,8);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(5,5);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(3,1);p(2,1);	4277;360;1169;320;379;323;380;352;450;429;511;883;578;898;1148;390;
S47804928	6vs1_1_mirror	8	112	p(2,5)p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(5,5);p(6,5);p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(3,1);p(3,0);p(2,0);	2149;358;1881;780;346;374;330;390;368;383;382;352;434;638;689;892;412;
S47804928	3ways_3_mirror	9	119	p(3,4)p(3,3);p(3,2);p(3,1);p(2,1);p(1,1);p(1,0);p(0,0);	8143;383;485;347;477;946;383;
S47804928	Loop_1_mirror	10	125	p(0,0)p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(1,3);	2864;780;398;681;442;1026;
S47804928	4vs1_mirror	11	134	p(2,4)p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(1,1);p(0,1);	2198;367;891;396;532;410;356;563;411;
S47804928	3ways_1_mirror	12	139	p(2,4)p(2,3);p(2,2);p(2,1);p(2,0);p(1,0);	2149;367;387;1042;405;
S47804928	Loop_2_mirror	13	151	p(0,3)p(1,3);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);	2095;644;398;433;802;556;382;383;373;834;825;360;
S47804928	Equal_6vs6	14	168	p(4,4)p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(2,2);p(2,3);p(2,4);p(3,4);p(4,4);p(5,4);p(6,4);p(6,5);p(6,6);p(6,7);p(5,7);p(4,7);	4421;726;1005;330;367;936;346;456;526;442;336;368;383;428;433;1059;908;
S47804928	Equal_2vs5_mirror	15	179	p(2,4)p(3,4);p(4,4);p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(1,1);p(0,1);p(0,2);p(0,3);	1931;345;1043;390;472;360;441;465;436;682;359;
S47804928	Equal_7vs2	16	187	p(5,4)p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(2,1);p(2,0);p(1,0);	1725;388;368;404;382;398;352;922;
S47804928	Equal_8vs8	17	209	p(6,3)p(5,3);p(4,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(9,3);p(9,4);p(9,5);p(8,5);p(7,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);	2103;442;592;472;450;900;330;471;344;452;345;336;1148;373;429;1342;516;466;515;751;442;774;
S47804928	3ways_2_mirror	18	221	p(3,6)p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(2,1);p(1,1);p(2,1);p(3,1);p(4,1);p(5,1);p(5,2);	1659;419;411;383;390;360;548;1432;1416;368;390;741;
S47804928	Equal_6vs6_mirror	19	228	p(2,4)p(3,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(3,0);	3093;375;420;366;390;947;387;
S47804928	4ways	20	244	p(2,6)p(2,5);p(2,4);p(3,4);p(4,4);p(3,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(0,2);	5504;364;459;404;750;398;435;397;442;870;1080;1934;493;489;431;851;
S47804928	Equal_7vs9	21	273	p(5,2)p(5,1);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(7,6);p(7,7);p(6,7);p(5,7);p(4,7);p(3,7);	3287;381;412;1095;682;532;450;414;388;855;375;390;381;376;435;338;374;389;391;405;352;451;434;397;390;907;472;615;846;
S47804928	4vs1	22	282	p(0,4)p(0,3);p(0,2);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(2,3);	19730;305;384;1168;375;405;441;360;1853;
S47804928	Loop_2	23	294	p(7,3)p(6,3);p(5,3);p(5,2);p(5,1);p(5,0);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(1,2);p(0,2);	1972;421;357;324;867;505;381;630;352;398;735;330;
S47804928	Equal_4vs2	24	297	p(1,0)p(1,1);p(1,2);p(2,2);	1366;330;892;
S47804928	Equal_6vs3	25	302	p(4,4)p(4,5);p(4,6);p(4,7);p(5,7);p(6,7);	2186;368;809;885;967;
S47804928	6vs1_1	26	319	p(4,5)p(5,5);p(6,5);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);p(0,4);p(0,3);p(0,2);p(0,1);p(1,1);p(2,1);p(3,1);p(3,0);p(4,0);	2903;345;1048;390;480;570;510;361;367;367;345;374;465;599;497;815;368;
S47804928	6vs2	27	324	p(0,1)p(1,1);p(2,1);p(3,1);p(4,1);p(4,2);	2165;389;390;374;802;
S47804928	Equal_4vs2_mirror	28	334	p(4,0)p(4,1);p(4,2);p(4,1);p(4,0);p(3,0);p(2,0);p(1,0);p(1,1);p(1,2);p(0,2);	1667;329;1043;294;471;375;359;1002;408;451;
S47804928	Loop_1	29	343	p(7,0)p(6,0);p(5,0);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(1,2);p(1,3);	1938;414;456;421;741;413;419;691;351;
S47804928	3ways_4_mirror	30	357	p(2,2)p(1,2);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(5,1);p(5,0);p(4,0);	1491;419;495;359;390;399;433;428;382;825;383;300;418;690;
S47804928	4ways_mirror	31	373	p(3,6)p(3,5);p(3,4);p(2,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(3,1);p(2,1);p(1,1);p(2,1);p(3,1);p(4,1);p(5,1);p(5,2);	4222;1372;419;389;527;845;376;367;743;479;449;690;398;456;504;787;
