subject	world	trialNo	steps	path	times
S26606702	hard_hallway_0_copy	23	408	p(0,0)p(0,1);p(0,2);p(0,3);p(0,4);p(0,5);p(0,6);p(1,6);p(2,6);p(3,6);p(4,6);p(5,6);p(6,6);p(7,6);p(8,6);p(9,6);p(10,6);p(11,6);p(12,6);p(13,6);p(14,6);p(15,6);p(15,5);p(15,4);p(15,3);p(15,2);p(15,1);p(15,0);p(14,0);p(13,0);p(12,0);p(12,1);p(12,2);	1590;699;1267;534;466;449;1217;400;683;1083;451;484;749;467;451;449;417;466;417;434;449;634;434;465;451;449;451;418;883;466;1200;649;
S4032586	easy_spider_3_copy	1	9	p(2,5)p(3,5);p(4,5);p(5,5);p(6,5);p(7,5);p(8,5);p(9,5);p(9,6);p(9,7);	4924;730;759;864;853;1142;887;1137;753;
S4032586	easy_labyrinth	2	15	p(0,2)p(1,2);p(2,2);p(3,2);p(4,2);p(4,1);p(4,0);	2028;748;711;741;1149;759;
S4032586	easy_spider_2	3	31	p(4,5)p(4,4);p(4,3);p(4,2);p(4,1);p(5,1);p(4,1);p(3,1);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	3077;821;826;920;1762;1676;811;757;1059;694;842;919;719;796;883;954;
S4032586	easy_spider_3	4	38	p(2,3)p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,0);	1880;755;1298;901;1143;788;765;
S4032586	easy_large_loop_2	5	59	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(5,4);p(5,5);p(5,4);p(5,3);p(5,2);p(5,1);p(6,1);p(7,1);p(8,1);p(9,1);p(9,2);p(9,3);p(9,4);	2050;708;683;866;834;1293;2592;839;802;715;1207;716;976;1111;816;780;702;802;925;772;734;
S4032586	easy_large_loop_1	6	66	p(0,4)p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(6,4);p(6,3);	1890;846;841;815;1066;783;1312;
S4032586	easy_spider_1	7	91	p(2,3)p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(8,4);p(8,5);p(8,6);p(8,5);p(8,4);p(8,3);p(7,3);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(2,4);p(2,5);p(2,6);p(1,6);p(0,6);p(0,5);p(0,4);	1588;715;784;1158;836;960;1657;768;820;1056;760;767;776;819;824;839;823;3030;800;703;871;1325;761;1044;774;
S4032586	easy_large_loop_2_copy	8	106	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(7,4);p(7,5);p(7,6);p(7,7);p(6,7);	5187;699;679;766;789;690;881;1379;2621;789;648;767;695;755;1144;
S4032586	medium_cathedral_copy	9	113	p(4,4)p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	3904;937;829;762;902;764;811;
S4032586	medium_roomG	10	122	p(3,3)p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(6,1);	3285;909;1216;755;822;866;2695;721;1313;
S4032586	medium_library	11	137	p(1,3)p(1,2);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(6,3);p(6,2);p(6,1);p(7,1);p(7,0);	2053;730;1111;746;738;792;1092;816;822;1203;1164;787;805;1739;763;
S4032586	medium_library_rotate	12	140	p(2,1)p(2,2);p(2,3);p(3,3);	2425;752;1624;
S4032586	medium_cathedral	13	145	p(2,4)p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	2282;755;1149;671;737;
S4032586	medium_cubicles	14	164	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(5,5);p(5,6);	1897;768;745;1098;1235;709;713;1370;758;1843;1101;1676;746;1188;946;723;776;770;1107;
S4032586	medium_roomG_copy	15	183	p(6,3)p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(7,3);p(8,3);p(9,3);p(10,3);p(11,3);p(11,4);p(11,5);p(11,6);p(12,6);	2098;797;801;855;823;1077;694;718;775;783;722;713;915;835;996;1641;736;763;1520;
S4032586	hard_two_loops_0	16	213	p(9,7)p(8,7);p(7,7);p(6,7);p(6,6);p(6,5);p(6,4);p(6,3);p(6,2);p(6,1);p(5,1);p(4,1);p(4,2);p(4,3);p(4,2);p(4,1);p(5,1);p(6,1);p(6,0);p(7,0);p(8,0);p(9,0);p(10,0);p(11,0);p(12,0);p(12,1);p(13,1);p(14,1);p(15,1);p(16,1);p(17,1);	3446;2319;1476;822;769;773;748;768;876;2331;894;1338;788;1200;897;820;1044;944;940;796;854;694;752;781;1117;1253;668;703;779;1072;
S4032586	hard_two_loops_2	17	223	p(10,2)p(9,2);p(8,2);p(7,2);p(6,2);p(6,3);p(6,4);p(5,4);p(4,4);p(3,4);p(2,4);	5367;782;719;706;1957;860;1145;708;698;784;
S4032586	hard_hallway_1	18	232	p(4,0)p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,6);p(2,6);p(1,6);	2616;987;745;749;1155;718;765;1218;866;
S4032586	hard_two_big_rooms_0	19	274	p(7,0)p(8,0);p(8,1);p(8,2);p(8,3);p(9,3);p(10,3);p(10,4);p(10,5);p(10,6);p(11,6);p(12,6);p(11,6);p(10,6);p(10,5);p(10,4);p(10,3);p(10,2);p(10,1);p(10,0);p(11,0);p(12,0);p(11,0);p(10,0);p(10,1);p(10,2);p(10,3);p(9,3);p(8,3);p(8,2);p(8,1);p(8,0);p(7,0);p(6,0);p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(4,2);p(4,1);p(4,0);p(3,0);	5311;755;654;769;702;826;1200;782;800;1425;876;1163;860;869;746;792;701;695;804;1416;951;1985;864;741;739;735;770;823;741;784;1001;860;884;722;761;693;660;753;1313;756;880;951;
S4032586	hard_hallway_1_rotate	20	283	p(10,4)p(10,5);p(10,6);p(10,7);p(9,7);p(8,7);p(8,6);p(8,5);p(7,5);p(6,5);	6813;709;755;731;795;4490;826;775;837;
