"model","LL","tau","gamma","beta","k","bits","budget","c","subject","modeltype"
"DU",-27.269242517338,0.6342,0.71,1,NA,NA,NA,NA,"S42729408","Planning"
"DU-Num",-27.4616779237612,0.3306,0.58,1,NA,1.9,NA,NA,"S42729408","Planning"
"EU",-34.28260649882,1.4108,1,1,NA,NA,NA,NA,"S42729408","Planning"
"EU-Num",-34.6228825146566,1.3256,1,1,NA,6.6,NA,NA,"S42729408","Planning"
"PW",-26.1484111431585,0.5158,1,0.3872,NA,NA,NA,NA,"S42729408","Planning"
"PW_DU",-25.8615408908052,0.5594,0.938,0.4684,NA,NA,NA,NA,"S42729408","Planning"
"Random",-71.0844637408503,1,NA,NA,NA,NA,NA,NA,"S42729408","Heuristic"
"Sampling",-46.1606367831046,NA,NA,NA,NA,NA,170,12,"S42729408","Planning"
"Steps",-41.8616810070263,1.3498,NA,NA,1,NA,NA,NA,"S42729408","Heuristic"
"Steps-Cells",-41.3067622903341,0.9044,NA,NA,0.68,NA,NA,NA,"S42729408","Heuristic"
"Steps-Cells-Num",-38.5461504012944,0.2862,NA,NA,0.72,0.42,NA,NA,"S42729408","Heuristic"
"Steps-Num",-39.1574067145047,0.2924,NA,NA,1,0.26,NA,NA,"S42729408","Heuristic"
"Cells",-59.2135326351541,7.5442,NA,NA,0,NA,NA,NA,"S59538044","Heuristic"
"Cells-Num",-59.5758556364293,1.7684,NA,NA,0,0.1,NA,NA,"S59538044","Heuristic"
"DU",-21.7153927696208,0.2702,0.12,1,NA,NA,NA,NA,"S59538044","Planning"
"DU-Num",-22.6751954546221,0.2542,0.12,1,NA,5.26,NA,NA,"S59538044","Planning"
"EU",-35.9506306898198,2.092,1,1,NA,NA,NA,NA,"S59538044","Planning"
"EU-Num",-35.9511433764279,2.092,1,1,NA,10,NA,NA,"S59538044","Planning"
"PW",-21.8377260282886,0.5906,1,0.1078,NA,NA,NA,NA,"S59538044","Planning"
"PW_DU",-21.2270789393672,0.248,0.16,0.3946,NA,NA,NA,NA,"S59538044","Planning"
"Random",-58.017899262486,1,NA,NA,NA,NA,NA,NA,"S59538044","Heuristic"
"Sampling",-40.8789554960638,NA,NA,NA,NA,NA,205,13,"S59538044","Planning"
"Steps",-22.4639227350673,0.2,NA,NA,1,NA,NA,NA,"S59538044","Heuristic"
"Steps-Cells",-22.4639227350673,0.2,NA,NA,1,NA,NA,NA,"S59538044","Heuristic"
"Steps-Cells-Num",-22.4647256254835,0.2,NA,NA,1,5.8,NA,NA,"S59538044","Heuristic"
"Steps-Num",-22.4647256254835,0.2,NA,NA,1,5.8,NA,NA,"S59538044","Heuristic"
"Cells",-74.5818773758039,8,NA,NA,0,NA,NA,NA,"S15972438","Heuristic"
"Cells-Num",-74.6642945244102,1.8536,NA,NA,0,0.1,NA,NA,"S15972438","Heuristic"
"DU",-51.2601450733671,1.275,0.36,1,NA,NA,NA,NA,"S15972438","Planning"
"DU-Num",-45.1070931628205,0.3688,0.2,1,NA,0.7,NA,NA,"S15972438","Planning"
"EU",-51.8164763501087,2.5918,1,1,NA,NA,NA,NA,"S15972438","Planning"
"EU-Num",-51.9628786894713,2.5918,1,1,NA,9,NA,NA,"S15972438","Planning"
"PW",-48.2865200175831,1.3062,1,0.1,NA,NA,NA,NA,"S15972438","Planning"
"PW_DU",-51.6480893247482,1.275,0.7,0.48,NA,NA,NA,NA,"S15972438","Planning"
"Random",-73.5050318795014,1,NA,NA,NA,NA,NA,NA,"S15972438","Heuristic"
"Sampling",-56.8784737996805,NA,NA,NA,NA,NA,22,10,"S15972438","Planning"
"Steps",-57.6337113473214,1.3942,NA,NA,1,NA,NA,NA,"S15972438","Heuristic"
"Steps-Cells",-57.6337113473214,1.3942,NA,NA,1,NA,NA,NA,"S15972438","Heuristic"
"Steps-Cells-Num",-47.3249573203378,0.3618,NA,NA,1,0.42,NA,NA,"S15972438","Heuristic"
"Steps-Num",-47.3249573203378,0.3618,NA,NA,1,0.42,NA,NA,"S15972438","Heuristic"
"Cells",-52.3767775461469,3.7174,NA,NA,0,NA,NA,NA,"S3955555","Heuristic"
"Cells-Num",-52.5229594967311,0.7388,NA,NA,0,0.1,NA,NA,"S3955555","Heuristic"
"DU",-20.7393341204797,0.7214,0.918,1,NA,NA,NA,NA,"S3955555","Planning"
"DU-Num",-20.7202210189587,0.7214,0.918,1,NA,5.4,NA,NA,"S3955555","Planning"
"EU",-18.5734783168452,0.948,1,1,NA,NA,NA,NA,"S3955555","Planning"
"EU-Num",-18.4546194203592,0.826,1,1,NA,5.6,NA,NA,"S3955555","Planning"
"PW",-23.627202529621,0.7214,1,1.2266,NA,NA,NA,NA,"S3955555","Planning"
"PW_DU",-24.8372441986846,0.6902,0.908,1.8868,NA,NA,NA,NA,"S3955555","Planning"
"Random",-52.6958653693207,1,NA,NA,NA,NA,NA,NA,"S3955555","Heuristic"
"Sampling",-14.7574122970036,NA,NA,NA,NA,NA,1000,17.2,"S3955555","Planning"
"Steps",-27.7235263944068,0.3528,NA,NA,1,NA,NA,NA,"S3955555","Heuristic"
"Steps-Cells",-30.792522927354,0.3084,NA,NA,0.88,NA,NA,NA,"S3955555","Heuristic"
"Steps-Cells-Num",-30.0749641578432,0.2,NA,NA,0.88,1.8,NA,NA,"S3955555","Heuristic"
"Steps-Num",-27.7922345101894,0.2,NA,NA,1,1.6,NA,NA,"S3955555","Heuristic"
"Cells",-56.9504497765833,5.5248,NA,NA,0,NA,NA,NA,"S76675509","Heuristic"
"Cells-Num",-56.8768190364772,1.1794,NA,NA,0,0.1,NA,NA,"S76675509","Heuristic"
"DU",-31.3475597519808,0.826,0.33,1,NA,NA,NA,NA,"S76675509","Planning"
"DU-Num",-32.1275569310491,0.7076,0.33,1,NA,4.44,NA,NA,"S76675509","Planning"
"EU",-36.3132833244374,1.9728,1,1,NA,NA,NA,NA,"S76675509","Planning"
"EU-Num",-36.3138059927523,1.9728,1,1,NA,10,NA,NA,"S76675509","Planning"
"PW",-30.0254085797607,0.948,1,0.2726,NA,NA,NA,NA,"S76675509","Planning"
"PW_DU",-30.796828869776,0.5906,0.318,0.1558,NA,NA,NA,NA,"S76675509","Planning"
"Random",-56.1744238121203,1,NA,NA,NA,NA,NA,NA,"S76675509","Heuristic"
"Sampling",-37.4888844394889,NA,NA,NA,NA,NA,210,10.4,"S76675509","Planning"
"Steps",-29.2747699790634,0.7214,NA,NA,1,NA,NA,NA,"S76675509","Heuristic"
"Steps-Cells",-30.2645811926172,0.6342,NA,NA,0.9,NA,NA,NA,"S76675509","Heuristic"
"Steps-Cells-Num",-30.0450136414452,0.216,NA,NA,0.96,0.18,NA,NA,"S76675509","Heuristic"
"Steps-Num",-29.8569193726634,0.216,NA,NA,1,0.18,NA,NA,"S76675509","Heuristic"
"Cells",-56.7804745685822,3.784,NA,NA,0,NA,NA,NA,"S81228630","Heuristic"
"Cells-Num",-57.1601215354214,0.7512,NA,NA,0,0.1,NA,NA,"S81228630","Heuristic"
"DU",-33.1711524217142,0.8122,0.14,1,NA,NA,NA,NA,"S81228630","Planning"
"DU-Num",-34.2976391202475,0.774,0.14,1,NA,5.1,NA,NA,"S81228630","Planning"
"EU",-37.6019585589799,2.2586,1,1,NA,NA,NA,NA,"S81228630","Planning"
"EU-Num",-37.602468517166,2.2586,1,1,NA,10,NA,NA,"S81228630","Planning"
"PW",-30.09176819363,1.3256,1,0.3358,NA,NA,NA,NA,"S81228630","Planning"
"PW_DU",-31.9188096536214,0.7824,0.18,0.2856,NA,NA,NA,NA,"S81228630","Planning"
"Random",-55.6508756533547,1,NA,NA,NA,NA,NA,NA,"S81228630","Heuristic"
"Sampling",-40.2514863869609,NA,NA,NA,NA,NA,230,10.4,"S81228630","Planning"
"Steps",-27.2471338057503,0.765,NA,NA,1,NA,NA,NA,"S81228630","Heuristic"
"Steps-Cells",-34.5587051788893,0.6902,NA,NA,0.84,NA,NA,NA,"S81228630","Heuristic"
"Steps-Cells-Num",-31.7321539443101,0.2,NA,NA,0.9,0.18,NA,NA,"S81228630","Heuristic"
"Steps-Num",-27.0537492934492,0.2,NA,NA,1,0.1,NA,NA,"S81228630","Heuristic"
"Cells",-58.3445703832796,4.417,NA,NA,0,NA,NA,NA,"S45348992","Heuristic"
"Cells-Num",-58.6754629083687,0.948,NA,NA,0,0.1,NA,NA,"S45348992","Heuristic"
"DU",-33.0088198843262,1.2404,0.86,1,NA,NA,NA,NA,"S45348992","Planning"
"DU-Num",-29.7593622403818,0.6342,0.78,1,NA,1.5,NA,NA,"S45348992","Planning"
"EU",-32.6763618422015,1.7344,1,1,NA,NA,NA,NA,"S45348992","Planning"
"EU-Num",-32.7065063102388,1.7344,1,1,NA,5.4,NA,NA,"S45348992","Planning"
"PW",-32.2325581931721,1.2404,1,0.5698,NA,NA,NA,NA,"S45348992","Planning"
"PW_DU",-32.8450629926681,1.2404,0.858,1.051,NA,NA,NA,NA,"S45348992","Planning"
"Random",-58.6594304669086,1,NA,NA,NA,NA,NA,NA,"S45348992","Heuristic"
"Sampling",-32.3148657802197,NA,NA,NA,NA,NA,370,16.6,"S45348992","Planning"
"Steps",-39.7518975978371,1.6492,NA,NA,1,NA,NA,NA,"S45348992","Heuristic"
"Steps-Cells",-39.0872944981027,1.3256,NA,NA,0.76,NA,NA,NA,"S45348992","Heuristic"
"Steps-Cells-Num",-38.3444106090536,0.4464,NA,NA,0.86,0.42,NA,NA,"S45348992","Heuristic"
"Steps-Num",-37.6767176625725,0.4776,NA,NA,1,0.42,NA,NA,"S45348992","Heuristic"
"Cells",-56.3956752416343,4.417,NA,NA,0,NA,NA,NA,"S38383006","Heuristic"
"Cells-Num",-56.7126152109477,0.887,NA,NA,0,0.1,NA,NA,"S38383006","Heuristic"
"DU",-30.1128073573548,0.603,0.04,1,NA,NA,NA,NA,"S38383006","Planning"
"DU-Num",-30.6598908271061,0.5718,0.04,1,NA,6.9,NA,NA,"S38383006","Planning"
"EU",-39.0964235787173,2.092,1,1,NA,NA,NA,NA,"S38383006","Planning"
"EU-Num",-39.0969362653254,2.092,1,1,NA,10,NA,NA,"S38383006","Planning"
"PW",-31.1321988578938,0.948,1,0.1078,NA,NA,NA,NA,"S38383006","Planning"
"PW_DU",-29.9255637990724,0.5372,0.04,0.1,NA,NA,NA,NA,"S38383006","Planning"
"Random",-56.5155504090915,1,NA,NA,NA,NA,NA,NA,"S38383006","Heuristic"
"Sampling",-40.7412011096952,NA,NA,NA,NA,NA,95,6.4,"S38383006","Planning"
"Steps",-34.1819822319444,0.4776,NA,NA,1,NA,NA,NA,"S38383006","Heuristic"
"Steps-Cells",-34.4102659767611,0.4776,NA,NA,0.98,NA,NA,NA,"S38383006","Heuristic"
"Steps-Cells-Num",-35.3642314794375,0.248,NA,NA,1,1.52,NA,NA,"S38383006","Heuristic"
"Steps-Num",-35.3642314794375,0.248,NA,NA,1,1.52,NA,NA,"S38383006","Heuristic"
"Cells",-68.2323457668519,7.5442,NA,NA,0,NA,NA,NA,"S70966419","Heuristic"
"Cells-Num",-67.8589136788848,1.8536,NA,NA,0,0.1,NA,NA,"S70966419","Heuristic"
"DU",-26.2522630655578,0.4846,0.36,1,NA,NA,NA,NA,"S70966419","Planning"
"DU-Num",-27.7065109907532,0.4402,0.36,1,NA,3.7,NA,NA,"S70966419","Planning"
"EU",-45.1911422366339,2.2586,1,1,NA,NA,NA,NA,"S70966419","Planning"
"EU-Num",-45.1912741264342,2.2586,1,1,NA,10,NA,NA,"S70966419","Planning"
"PW",-25.6600673765269,0.6342,1,0.1,NA,NA,NA,NA,"S70966419","Planning"
"PW_DU",-26.9575220425098,0.4846,0.36,1.106,NA,NA,NA,NA,"S70966419","Planning"
"Random",-66.8592135879709,1,NA,NA,NA,NA,NA,NA,"S70966419","Heuristic"
"Sampling",-50.0814435584999,NA,NA,NA,NA,NA,15.6,9,"S70966419","Planning"
"Steps",-33.2004718383364,0.6778,NA,NA,1,NA,NA,NA,"S70966419","Heuristic"
"Steps-Cells",-33.2004718383364,0.6778,NA,NA,1,NA,NA,NA,"S70966419","Heuristic"
"Steps-Cells-Num",-32.8152533239279,0.2,NA,NA,1,0.1,NA,NA,"S70966419","Heuristic"
"Steps-Num",-32.8152533239279,0.2,NA,NA,1,0.1,NA,NA,"S70966419","Heuristic"
"Cells",-64.4397651908362,7.0884,NA,NA,0,NA,NA,NA,"S61857717","Heuristic"
"Cells-Num",-64.675223569522,1.4448,NA,NA,0,0.1,NA,NA,"S61857717","Heuristic"
"DU",-36.382470407143,1.4108,0.4,1,NA,NA,NA,NA,"S61857717","Planning"
"DU-Num",-38.89173698389,0.5024,0.2,1,NA,0.92,NA,NA,"S61857717","Planning"
"EU",-44.003190663959,2.2586,1,1,NA,NA,NA,NA,"S61857717","Planning"
"EU-Num",-44.0029440852375,2.2586,1,1,NA,10,NA,NA,"S61857717","Planning"
"PW",-35.4867791914997,1.2404,1,0.1532,NA,NA,NA,NA,"S61857717","Planning"
"PW_DU",-36.9730772607019,1.2404,0.668,0.2198,NA,NA,NA,NA,"S61857717","Planning"
"Random",-63.3290391690339,1,NA,NA,NA,NA,NA,NA,"S61857717","Heuristic"
"Sampling",-56.7134957714598,NA,NA,NA,NA,NA,19.2,3.4,"S61857717","Planning"
"Steps",-42.7391607128188,1.5882,NA,NA,1,NA,NA,NA,"S61857717","Heuristic"
"Steps-Cells",-41.5086276702229,1.469,NA,NA,0.88,NA,NA,NA,"S61857717","Heuristic"
"Steps-Cells-Num",-38.6162635965261,0.264,NA,NA,0.92,0.1,NA,NA,"S61857717","Heuristic"
"Steps-Num",-39.1060232025954,0.2862,NA,NA,1,0.1,NA,NA,"S61857717","Heuristic"
"Cells",-53.7525438982406,5.721,NA,NA,0,NA,NA,NA,"S19126786","Heuristic"
"Cells-Num",-54.1012166787132,1.2404,NA,NA,0,0.1,NA,NA,"S19126786","Heuristic"
"DU",-29.5797503232432,1.2404,0.88,1,NA,NA,NA,NA,"S19126786","Planning"
"DU-Num",-29.5798626638601,1.2404,0.88,1,NA,10,NA,NA,"S19126786","Planning"
"EU",-28.0811387848655,1.6152,1,1,NA,NA,NA,NA,"S19126786","Planning"
"EU-Num",-28.2016380833743,1.6152,1,1,NA,9.2,NA,NA,"S19126786","Planning"
"PW",-32.8406705608401,1.2404,1,1.087,NA,NA,NA,NA,"S19126786","Planning"
"PW_DU",-28.4259241648946,1.009,0.86,2,NA,NA,NA,NA,"S19126786","Planning"
"Random",-53.5714341116749,1,NA,NA,NA,NA,NA,NA,"S19126786","Heuristic"
"Sampling",-26.5428061704027,NA,NA,NA,NA,NA,740,22.8,"S19126786","Planning"
"Steps",-31.6020084702416,1.2404,NA,NA,1,NA,NA,NA,"S19126786","Heuristic"
"Steps-Cells",-31.6020084702416,1.2404,NA,NA,1,NA,NA,NA,"S19126786","Heuristic"
"Steps-Cells-Num",-32.8450360121004,0.2702,NA,NA,1,0.18,NA,NA,"S19126786","Heuristic"
"Steps-Num",-32.8450360121004,0.2702,NA,NA,1,0.18,NA,NA,"S19126786","Heuristic"
"Cells",-58.6811263523971,4.417,NA,NA,0,NA,NA,NA,"S68133676","Heuristic"
"Cells-Num",-58.2795270063584,0.765,NA,NA,0,0.1,NA,NA,"S68133676","Heuristic"
"DU",-34.5759666235513,1.009,0.58,1,NA,NA,NA,NA,"S68133676","Planning"
"DU-Num",-33.8839720361019,0.5906,0.5,1,NA,1.5,NA,NA,"S68133676","Planning"
"EU",-45.0760327136017,2.5918,1,1,NA,NA,NA,NA,"S68133676","Planning"
"EU-Num",-45.0761540258695,2.5918,1,1,NA,10,NA,NA,"S68133676","Planning"
"PW",-33.4060551191479,1.009,1,0.2406,NA,NA,NA,NA,"S68133676","Planning"
"PW_DU",-35.8239109994432,0.9654,0.69,0.528,NA,NA,NA,NA,"S68133676","Planning"
"Random",-59.5093541292631,1,NA,NA,NA,NA,NA,NA,"S68133676","Heuristic"
"Sampling",-45.4676808679574,NA,NA,NA,NA,NA,11.6,2.4,"S68133676","Planning"
"Steps",-41.0594207835111,1.3498,NA,NA,1,NA,NA,NA,"S68133676","Heuristic"
"Steps-Cells",-38.2837203987034,0.7214,NA,NA,0.54,NA,NA,NA,"S68133676","Heuristic"
"Steps-Cells-Num",-37.1050727544386,0.232,NA,NA,0.64,0.26,NA,NA,"S68133676","Heuristic"
"Steps-Num",-39.7612366834032,0.393,NA,NA,1,0.34,NA,NA,"S68133676","Heuristic"
"Cells",-56.3841699929739,7.0884,NA,NA,0,NA,NA,NA,"S72264920","Heuristic"
"Cells-Num",-56.5797449771502,1.53,NA,NA,0,0.1,NA,NA,"S72264920","Heuristic"
"DU",-48.9078932311115,2.9916,0.46,1,NA,NA,NA,NA,"S72264920","Planning"
"DU-Num",-50.7931996142343,0.885,0.28,1,NA,0.46,NA,NA,"S72264920","Planning"
"EU",-49.5024214011911,4.743,1,1,NA,NA,NA,NA,"S72264920","Planning"
"EU-Num",-49.5401037321608,4.743,1,1,NA,9.2,NA,NA,"S72264920","Planning"
"PW",-48.3230395518203,2.9916,1,0.1748,NA,NA,NA,NA,"S72264920","Planning"
"PW_DU",-50.0612151854098,2.9916,0.54,0.9456,NA,NA,NA,NA,"S72264920","Planning"
"Random",-55.7041201978715,1,NA,NA,NA,NA,NA,NA,"S72264920","Heuristic"
"Sampling",-60.803369492967,NA,NA,NA,NA,NA,14.8,15.8,"S72264920","Planning"
"Steps",-49.2387137195489,3.2248,NA,NA,1,NA,NA,NA,"S72264920","Heuristic"
"Steps-Cells",-50.1819022621303,2.5918,NA,NA,0.88,NA,NA,NA,"S72264920","Heuristic"
"Steps-Cells-Num",-50.7892418009764,0.5594,NA,NA,0.9,0.18,NA,NA,"S72264920","Heuristic"
"Steps-Num",-49.6307059192344,0.603,NA,NA,1,0.1,NA,NA,"S72264920","Heuristic"
"Cells",-66.9187045189714,8,NA,NA,0,NA,NA,NA,"S66078958","Heuristic"
"Cells-Num",-66.8116193423689,1.9728,NA,NA,0,0.1,NA,NA,"S66078958","Heuristic"
"DU",-29.8971163924839,0.6778,0.32,1,NA,NA,NA,NA,"S66078958","Planning"
"DU-Num",-31.061288404472,0.4,0.24,1,NA,1.9,NA,NA,"S66078958","Planning"
"EU",-35.9525570088496,1.496,1,1,NA,NA,NA,NA,"S66078958","Planning"
"EU-Num",-35.9525305330244,1.496,1,1,NA,10,NA,NA,"S66078958","Planning"
"PW",-29.5030238905822,0.765,1,0.2648,NA,NA,NA,NA,"S66078958","Planning"
"PW_DU",-30.7352382685543,0.6778,0.538,0.4204,NA,NA,NA,NA,"S66078958","Planning"
"Random",-66.1144504312736,1,NA,NA,NA,NA,NA,NA,"S66078958","Heuristic"
"Sampling",-35.8150726052986,NA,NA,NA,NA,NA,150,18,"S66078958","Planning"
"Steps",-34.0955611677788,0.7824,NA,NA,1,NA,NA,NA,"S66078958","Heuristic"
"Steps-Cells",-34.4520804280066,0.7824,NA,NA,0.98,NA,NA,NA,"S66078958","Heuristic"
"Steps-Cells-Num",-32.3700882893449,0.2,NA,NA,1,0.1,NA,NA,"S66078958","Heuristic"
"Steps-Num",-32.3700882893449,0.2,NA,NA,1,0.1,NA,NA,"S66078958","Heuristic"
"Cells",-58.6990443100613,8,NA,NA,0,NA,NA,NA,"S88940755","Heuristic"
"Cells-Num",-58.7907727717407,2.0202,NA,NA,0,0.1,NA,NA,"S88940755","Heuristic"
"DU",-41.5803318932072,1.469,0.24,1,NA,NA,NA,NA,"S88940755","Planning"
"DU-Num",-38.8750027969148,0.248,0.04,1,NA,0.1,NA,NA,"S88940755","Planning"
"EU",-46.3362555985668,3.3914,1,1,NA,NA,NA,NA,"S88940755","Planning"
"EU-Num",-46.3363853254918,3.3914,1,1,NA,10,NA,NA,"S88940755","Planning"
"PW",-33.8728553484741,1.496,1,0.1,NA,NA,NA,NA,"S88940755","Planning"
"PW_DU",-41.9767365465565,1.3498,0.516,0.3548,NA,NA,NA,NA,"S88940755","Planning"
"Random",-57.5478956332403,1,NA,NA,NA,NA,NA,NA,"S88940755","Heuristic"
"Sampling",-42.7838316417739,NA,NA,NA,NA,NA,11.6,4.6,"S88940755","Planning"
"Steps",-44.4366278272697,1.8266,NA,NA,1,NA,NA,NA,"S88940755","Heuristic"
"Steps-Cells",-44.4366278272697,1.8266,NA,NA,1,NA,NA,NA,"S88940755","Heuristic"
"Steps-Cells-Num",-39.6877780667843,0.3084,NA,NA,1,0.1,NA,NA,"S88940755","Heuristic"
"Steps-Num",-39.6877780667843,0.3084,NA,NA,1,0.1,NA,NA,"S88940755","Heuristic"
"Cells",-56.1915303861095,5.8508,NA,NA,0,NA,NA,NA,"S44009145","Heuristic"
"Cells-Num",-56.1727765210933,1.0942,NA,NA,0,0.1,NA,NA,"S44009145","Heuristic"
"DU",-26.5105453526683,0.7214,0.2,1,NA,NA,NA,NA,"S44009145","Planning"
"DU-Num",-30.0458007477663,0.5336,0.16,1,NA,1.6,NA,NA,"S44009145","Planning"
"EU",-42.4610117511401,2.9916,1,1,NA,NA,NA,NA,"S44009145","Planning"
"EU-Num",-42.4608845305539,2.9916,1,1,NA,10,NA,NA,"S44009145","Planning"
"PW",-28.3298435364688,1.009,1,0.1,NA,NA,NA,NA,"S44009145","Planning"
"PW_DU",-25.6470721434278,0.6778,0.2,0.161,NA,NA,NA,NA,"S44009145","Planning"
"Random",-55.3632935859033,1,NA,NA,NA,NA,NA,NA,"S44009145","Heuristic"
"Sampling",-40.1079117352201,NA,NA,NA,NA,NA,18.6,1.8,"S44009145","Planning"
"Steps",-27.2119490731831,0.765,NA,NA,1,NA,NA,NA,"S44009145","Heuristic"
"Steps-Cells",-29.6457032846516,0.6342,NA,NA,0.78,NA,NA,NA,"S44009145","Heuristic"
"Steps-Cells-Num",-29.0797976836224,0.2,NA,NA,0.86,0.18,NA,NA,"S44009145","Heuristic"
"Steps-Num",-26.9672784048339,0.2,NA,NA,1,0.1,NA,NA,"S44009145","Heuristic"
"Cells",-65.9441420763005,5.395,NA,NA,0,NA,NA,NA,"S6810150","Heuristic"
"Cells-Num",-66.1008536610575,1.009,NA,NA,0,0.1,NA,NA,"S6810150","Heuristic"
"DU",-33.0931497906253,0.6854,0.75,1,NA,NA,NA,NA,"S6810150","Planning"
"DU-Num",-37.7350892699627,0.4748,0.57,1,NA,2.7,NA,NA,"S6810150","Planning"
"EU",-32.8130237015027,1.4108,1,1,NA,NA,NA,NA,"S6810150","Planning"
"EU-Num",-37.7348733571556,1.2646,1,1,NA,4.68,NA,NA,"S6810150","Planning"
"PW",-31.5331970278877,0.7152,1,0.4386,NA,NA,NA,NA,"S6810150","Planning"
"PW_DU",-31.4543264651829,0.6542,0.89,0.5698,NA,NA,NA,NA,"S6810150","Planning"
"Random",-65.8140458238223,1,NA,NA,NA,NA,NA,NA,"S6810150","Heuristic"
"Sampling",-44.9625830144322,NA,NA,NA,NA,NA,390,19.6,"S6810150","Planning"
"Steps",-38.8120440453924,1.2646,NA,NA,1,NA,NA,NA,"S6810150","Heuristic"
"Steps-Cells",-38.2255389634389,0.8434,NA,NA,0.72,NA,NA,NA,"S6810150","Heuristic"
"Steps-Cells-Num",-36.405792267085,0.216,NA,NA,0.78,0.26,NA,NA,"S6810150","Heuristic"
"Steps-Num",-35.2496294507831,0.2382,NA,NA,1,0.18,NA,NA,"S6810150","Heuristic"
"Cells",-66.7014644924401,5.395,NA,NA,0,NA,NA,NA,"S99741740","Heuristic"
"Cells-Num",-66.7848924149743,1.009,NA,NA,0,0.1,NA,NA,"S99741740","Heuristic"
"DU",-37.1142041796758,1.0942,0.66,1,NA,NA,NA,NA,"S99741740","Planning"
"DU-Num",-39.6848066929718,0.6342,0.54,1,NA,3,NA,NA,"S99741740","Planning"
"EU",-44.0637253699418,2.2586,1,1,NA,NA,NA,NA,"S99741740","Planning"
"EU-Num",-44.1562345889672,2.2586,1,1,NA,9.2,NA,NA,"S99741740","Planning"
"PW",-37.7642230498784,1.0942,1,0.3358,NA,NA,NA,NA,"S99741740","Planning"
"PW_DU",-37.4024421305064,1.009,0.68,0.9928,NA,NA,NA,NA,"S99741740","Planning"
"Random",-66.8075976118336,1,NA,NA,NA,NA,NA,NA,"S99741740","Heuristic"
"Sampling",-50.8611113254254,NA,NA,NA,NA,NA,46.8,7.8,"S99741740","Planning"
"Steps",-41.0468416840927,1.53,NA,NA,1,NA,NA,NA,"S99741740","Heuristic"
"Steps-Cells",-40.3369188876726,1.009,NA,NA,0.66,NA,NA,NA,"S99741740","Heuristic"
"Steps-Cells-Num",-38.638083074694,0.2542,NA,NA,0.72,0.26,NA,NA,"S99741740","Heuristic"
"Steps-Num",-39.5670189704485,0.393,NA,NA,1,0.34,NA,NA,"S99741740","Heuristic"
"Cells",-46.0834110946507,2.9916,NA,NA,0,NA,NA,NA,"S39555199","Heuristic"
"Cells-Num",-46.1285805382483,0.5594,NA,NA,0,0.1,NA,NA,"S39555199","Heuristic"
"DU",-32.0466872205648,0.729,0.16,1,NA,NA,NA,NA,"S39555199","Planning"
"DU-Num",-31.1894846502073,0.729,0.16,1,NA,6.7,NA,NA,"S39555199","Planning"
"EU",-35.4904674864725,2.5918,1,1,NA,NA,NA,NA,"S39555199","Planning"
"EU-Num",-35.4904696493479,2.5918,1,1,NA,10,NA,NA,"S39555199","Planning"
"PW",-31.0968086653462,1.2404,1,0.2946,NA,NA,NA,NA,"S39555199","Planning"
"PW_DU",-32.9397042277568,0.668,0.2,0.5358,NA,NA,NA,NA,"S39555199","Planning"
"Random",-47.0971433953213,1,NA,NA,NA,NA,NA,NA,"S39555199","Heuristic"
"Sampling",-49.4749139396803,NA,NA,NA,NA,NA,214.4,8.4,"S39555199","Planning"
"Steps",-27.8255516938037,0.7214,NA,NA,1,NA,NA,NA,"S39555199","Heuristic"
"Steps-Cells",-29.0121635247564,0.6778,NA,NA,0.78,NA,NA,NA,"S39555199","Heuristic"
"Steps-Cells-Num",-29.0428268851542,0.2,NA,NA,0.8,0.18,NA,NA,"S39555199","Heuristic"
"Steps-Num",-27.1527287117196,0.2,NA,NA,1,0.1,NA,NA,"S39555199","Heuristic"
"Cells",-69.388722646177,5.5248,NA,NA,0,NA,NA,NA,"S56695602","Heuristic"
"Cells-Num",-69.4552012534221,1.0942,NA,NA,0,0.1,NA,NA,"S56695602","Heuristic"
"DU",-42.6530115370883,0.8732,0.67,1,NA,NA,NA,NA,"S56695602","Planning"
"DU-Num",-44.703613026175,0.7304,0.64,1,NA,2.78,NA,NA,"S56695602","Planning"
"EU",-33.7997289536597,1.496,1,1,NA,NA,NA,NA,"S56695602","Planning"
"EU-Num",-33.8250666728021,1.496,1,1,NA,5.6,NA,NA,"S56695602","Planning"
"PW",-33.4603156508777,0.948,1,0.4982,NA,NA,NA,NA,"S56695602","Planning"
"PW_DU",-40.0211089891824,0.8732,0.836,0.4982,NA,NA,NA,NA,"S56695602","Planning"
"Random",-68.8226006373762,1,NA,NA,NA,NA,NA,NA,"S56695602","Heuristic"
"Sampling",-41.3484557871639,NA,NA,NA,NA,NA,440,26.2,"S56695602","Planning"
"Steps",-44.9383011457649,1.221,NA,NA,1,NA,NA,NA,"S56695602","Heuristic"
"Steps-Cells",-46.8608152777846,0.8434,NA,NA,0.74,NA,NA,NA,"S56695602","Heuristic"
"Steps-Cells-Num",-41.953151635143,0.264,NA,NA,0.78,0.42,NA,NA,"S56695602","Heuristic"
"Steps-Num",-39.8197948882327,0.2542,NA,NA,1,0.26,NA,NA,"S56695602","Heuristic"
"Cells",-68.4976100488433,7.5442,NA,NA,0,NA,NA,NA,"S22421849","Heuristic"
"Cells-Num",-69.0895727536027,1.935,NA,NA,0,0.1,NA,NA,"S22421849","Heuristic"
"DU",-43.6831989859455,1.53,0.04,1,NA,NA,NA,NA,"S22421849","Planning"
